address,property_overview,price,property_url,purpose,property_description,num_bath_rooms,num_bed_rooms,area,cctv-security-amenity,parking-spaces-amenity,elevators-in-building-amenity,broadband-internet-amenity,maintenance-staff-amenity,building_type,building_nature,flooring-amenity,balcony-or-terrace-amenity,city,locality,address_1
"NarailS Upazilla,Narail,NarailS Upazilla,Narail,নড়াইল এ পিটিআই এর পাশে","A flat house on ground floor (2 bed room, 1 bathroom, 1 kitchen) is available for rent next to PTI in Narail.",0,https://www.thetolet.com/en/narail/narails-upazilla/7816/family-house-tolet-from-december,Rent,Family House Tolet From December ,1,2,0,,,,,,Apartment,Residential,,,,,"Narails Upazilla,Narail,Narails Upazilla,Narail,নড়াইল এ পিটিআই এর পাশে"
"Magura Sadar,Magura,Magura Sadar,Magura,ভায়না মোড় থেকে ৫/৬ মিনিট দূরের রাস্তা,টি,টি,ডি,সি পাড়াতে","5/6 minutes away from Bhayana Mor, 5/6 minutes away from Rasta Upazila, Ekta Clinic Lane, T, T, D, C, 2nd floor 2 room house for rent (for small family or female bachelor), attest bathroom own kitchen and balcony .",0,https://www.thetolet.com/en/magura/magura-sadar/7810/bachelor-house-tolet-from-december,Rent,Bachelor House Tolet From December ,1,2,0,,,,,,Apartment,Residential,,,,,"Magura Sadar,Magura,Magura Sadar,Magura,ভায়না মোড় থেকে ৫/৬ মিনিট দূরের রাস্তা,টি,টি,ডি,সি পাড়াতে"
"Gazipur Sadar,Gazipur,Gazipur Sadar,Gazipur,বাড়ি নাম্বার- এফ-১৫৪ ( FLAT NO- 6/A),উত্তর ছায়াবীথি,জয়দেবপুর","TO - LET POST, COMPLETE NEW FLAT FOR RENT WITH LIFT AND CAR PARKING., DETAILS LOCATION : NILA M. S. TOWER., HOUSE NO- F-154 (FLAT NO- 6/A),, NORTH CHAYABEETHI, JAYDEVPUR, GAZIPUR. (On 7th Floor of Newly Constructed New 8 Storey Building West Side of Nayabari Mosque), Detailed Flat/House Details (7th Floor of 08 Storey Building): , 03 Bed Room+ 01 Drawing Room, , 03 Balcony, , 02 Bathroom + 1 Common Bathroom ,, 01 dining room, , 01 kitchen. , Fully newly tiled, Central LPG Gas; Dis, Internet and surrounding boundaries; Completely new flat with security guard and rooftop and open environment.",0,https://www.thetolet.com/en/gazipur/gazipur-sadar/7805/family-house-tolet-from-december,Rent,Family House Tolet From December ,3,3,0,,,,,,Apartment,Residential,,,Gazipur,,"Gazipur Sadar,Gazipur Sadar,বাড়ি নাম্বার- এফ-১৫৪ ( Flat No- 6/A),উত্তর ছায়াবীথি,জয়দেবপুর"
"Mirpur,Dhaka,Mirpur,Dhaka,স্থানঃ বড়বাগ,মিরপুর-২ (মনিপুর স্কুলের পাশে)","#Emergency seats will be rented from #November. , , Need 1 roommate who is preparing for govt jobs (BCS, Bank,...)., Facilities: There is a conducive study environment., Fridge,, WiFi, Bua all kinds of facilities are available.",0,https://www.thetolet.com/en/dhaka/mirpur/7801/bachelor-house-tolet-from-december,Rent,Bachelor House Tolet From December ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Mirpur,"স্থানঃ বড়বাগ,মিরপুর-২ (মনিপুর স্কুলের পাশে)"
"Uttara,Dhaka,Uttara,Dhaka,সেক্টর ১১,রোড ৭ ( জমজম থেকে ৫ মিনিটের পথ )","? ONLY FOR FEMALE, One room will be rented from December., Address: Sector 11, Road 7 (5 minutes from Zamzam), Facilities: * Attest balcony, washroom, * 24 hours gas, water and electricity, * wifi, * Study environment",0,https://www.thetolet.com/en/dhaka/uttara/7795/bachelor-house-tolet-from-december,Rent,Bachelor House Tolet From December ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Uttara,"সেক্টর ১১,রোড ৭ ( জমজম থেকে ৫ মিনিটের পথ )"
"41,41,Lalbag,Dhaka,41,41,Lalbag,Dhaka,41 No. Lalbagh Road Killa Main Get Opposite Goli","#TO_LET? Opposite lane of @lalbagh fort main gate, , ? FAMILY/BACHELOR ., , ?RENT:, 2 ROOM FLAT AND A SMALL DINING=15000/- (2ND FLAT), (WATER AND LINE GAS INCLUDED IN RENT), , ELECTRICITY BILL PREPAID CARD SYSTEM (SEPARATE), , , ?ADDRESS: 41, No. Lalbagh Road. Next to Pitzza Garage Opposite Guli Killa Main Gate., , ?Contract: 01600351645",1500000,https://www.thetolet.com/en/dhaka/lalbag/7788/family-house-tolet-from-december,Rent,Family House Tolet From December ,1,2,0,,,,,,Apartment,Residential,Yes,Yes,Dhaka,,"41,41,Lalbag,41,41,Lalbag,41 No. Lalbagh Road Killa Main Get Opposite Goli"
"Daskhinkhan,Dhaka,Daskhinkhan,Dhaka,Mudhubag,Masterpara","# 2 room + 1 proxy room + kitchen+ bathroom (tin net) - 7000/, , # per room -2800/ , # proxy room - 1500/ , # gas bill + current bill (must pay by yourself)",280000,https://www.thetolet.com/en/dhaka/daskhinkhan/7784/family-house-tolet-from-november,Rent,Family House Tolet From November ,1,2,0,,,,,,Apartment,Residential,,Yes,Dhaka,,"Daskhinkhan,Daskhinkhan,Mudhubag,Masterpara"
"Mohakhali,Dhaka,Mohakhali,Dhaka,মহাখালী ব্রাক ইউনিভার্সিটির পেছনে","Behind Mohakhali Brac University, 1 room for rent in tiled light and airy house from 1st December 2022, with attest balcony. , Rent 8500/- (Including Electricity + Gas Bill)",850000,https://www.thetolet.com/en/dhaka/mohakhali/7779/bachelor-house-tolet-from-december,Rent,Bachelor House Tolet From December ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Mohakhali,মহাখালী ব্রাক ইউনিভার্সিটির পেছনে
"Kushtia Sadar,Kushtia,Kushtia Sadar,Kushtia,কুষ্টিয়া হরিশংকরপুর রেলগেটের কাছে","Near Kushtia Harishankarpur Railgate, family house for rent, 2nd floor south side from next 01/11/2022, 2 bed, drawing-dining, 2 balcony, kitchen, 2 bathroom, flat is furnished with tiles, house rent Rs.5600 negotiable. can be reduced",560000,https://www.thetolet.com/en/kushtia/kushtia-sadar/7775/family-house-tolet-from-november,Rent,Family House Tolet From November ,2,2,0,,,,,,Apartment,Residential,,,,,"Kushtia Sadar,Kushtia,Kushtia Sadar,Kushtia,কুষ্টিয়া হরিশংকরপুর রেলগেটের কাছে"
"Sylhet Sadar,Sylhet,Sylhet Sadar,Sylhet,বন্দর থেকে মাত্র ৫ মিনিটের দূরত্ব,মিরাবাজার","House for rent from November for quiet and polite small family, only 5 minutes from port, Mirabazar. Fully tiled. 1 master bedroom (large) with balcony, 1 drawing room, 1 dining room, large kitchen, 1 bathroom. 2nd floor of 4 storied house, 24 hours full house surveillance by cc camera, 24 hours water facility, ample parking for bikes. Cylinder gas. Rent 8000/=",800000,https://www.thetolet.com/en/sylhet/sylhet-sadar/7770/family-house-tolet-from-november,Rent, Family House Tolet From November ,1,1,0,,,,,,Apartment,Residential,,,Sylhet,,"Sylhet Sadar,Sylhet Sadar,বন্দর থেকে মাত্র ৫ মিনিটের দূরত্ব,মিরাবাজার"
"Doublemooring,Chittagong,Doublemooring,Chittagong,517 Sakh Mujib Road Chittagong","1000 sq ft office for rent in prime location on Qazi Plaza 3rd floor next to Dewanhat Fire Service, Sheikh Mujib Road. Mobile 01819610 270",3000000,https://www.thetolet.com/en/chittagong/doublemooring/7763/office-space-tolet-from-december,Rent,Office Space Tolet From December ,1,1,1050,,,,,,Office,Commercial,Yes,Yes,,,"Doublemooring,Chittagong,Doublemooring,Chittagong,517 Sakh Mujib Road Chittagong"
"1,চিড়িয়াখানা রোড,গ্রীন সিটি,Mirpur,Dhaka,1,চিড়িয়াখানা রোড,গ্রীন সিটি,Mirpur,Dhaka,বিসিআইসি কলোনী সংলগ্ন কুমীর শাহ্ মাজারের পাশে",Brand new south facing flat. 24 hours lift and generator facility. Very quiet environment.,1600000,https://www.thetolet.com/en/dhaka/mirpur/7755/family-house-tolet-from-november,Rent,Family House Tolet From November ,3,3,1100,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Mirpur,"1,চিড়িয়াখানা রোড,গ্রীন সিটি,1,চিড়িয়াখানা রোড,গ্রীন সিটি,বিসিআইসি কলোনী সংলগ্ন কুমীর শাহ্ মাজারের পাশে"
"Dhanmondi,Dhaka,Dhanmondi,Dhaka,ধানমন্ডি ২৭ ভি আই পি এরিয়া","Sublet will be provided for boys only for students, one bedroom room will be rented from November. , LOCATION# DHANMONDI 27 VIP AREA, BAR NEXT TO OXFORD INTERNATIONAL SCHOOL., FACILITIES, LIFT FACILITY, FRIDGE FACILITY AND USE OF KITCHEN, GENERATOR FACILITY IN CASE OF POWER OUTAGE.",0,https://www.thetolet.com/en/dhaka/dhanmondi/7751/sublet-room-tolet-from-november,Rent,Sublet Room Tolet From November ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Dhanmondi,ধানমন্ডি ২৭ ভি আই পি এরিয়া
"Mirpur,Dhaka,Mirpur,Dhaka,House: 1/2,Road: 11,DUIP Residential Area","#To-Let, #Mirpur-2, Two bed room family flat for rent in Mirpur-2 from Nov/Dec. , Location: House: 1/2, Road: 11, DUIP Residential Area (Masjid Market Street), Mirpur-2, House Details:, *Two Bedrooms, *Drawing+Dining, *Two Bathrooms (One Attached), *Kitchen, * Balcony, house fully tiled. Flat on the 3rd floor of a 6-storey house. Line gas, electricity prepaid meter., rent: 13000 (including water bill), gas and electricity separately (fixed).",1300000,https://www.thetolet.com/en/dhaka/mirpur/7747/family-house-tolet-from-november,Rent,Family House Tolet From November ,2,2,0,,,,,,Apartment,Residential,,,Dhaka,Mirpur,"House: 1/2,Road: 11,Duip Residential Area"
"Farmgate,Dhaka,Farmgate,Dhaka,পুর্ব-রাজা বাজার আমতলা,২৯ এর গলি","1 room for rent., and 2 seats for rent., from 1st December, Location: Purb-Raja Bazar, Amtala, 29er Street.",0,https://www.thetolet.com/en/dhaka/farmgate/7742/bachelor-house-tolet-from-november,Rent,Bachelor House Tolet From November ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,,"Farmgate,Farmgate,পুর্ব-রাজা বাজার আমতলা,২৯ এর গলি"
"Mohakhali,Dhaka,Mohakhali,Dhaka,বউ বাজারের পাশে,লেক পারের কাছেই","""Sub-let"", 1 room for rent in fully tiled two room flat house on 4th floor from 1st December with 8th bathroom (high-commode) and balcony., Husband & wife or 1/2 working girl., Walking distance from Gudaraghat 5 mins. 8/10 minutes from Link Road and Gulshan-01. Next to Bou Bazar, near Lake Par.",0,https://www.thetolet.com/en/dhaka/mohakhali/7738/bachelor-house-tolet-from-november,Rent,Bachelor House Tolet From November ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Mohakhali,"বউ বাজারের পাশে,লেক পারের কাছেই"
"1,99/B,Mirpur,Dhaka,1,99/B,Mirpur,Dhaka,Paikpara Tower,Moddha Paikpara Panir Pump",,1800000,https://www.thetolet.com/en/dhaka/mirpur/7730/family-house-tolet-from-december,Rent,Family House Tolet From December ,3,3,1400,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Mirpur,"1,99/B,1,99/B,Paikpara Tower,Moddha Paikpara Panir Pump"
"E-70/3,70/3,Dhamrai,Dhaka,E-70/3,70/3,Dhamrai,Dhaka,Dhamrai Model Town","House in 5 floor building near Dhamrai Hardinge High School, for rent, , flat detiels:, , 2 bed room+ dining room+ drawing room, , 1 kitchen + 2 bathroom + 1 balcony+, garage facility available, , Contact : 01711476031",750000,https://www.thetolet.com/en/dhaka/dhamrai/7724/family-house-tolet-from-november,Rent,Family House Tolet From November ,2,2,1100,,,,,,Apartment,Residential,Yes,Yes,Dhaka,,"E-70/3,70/3,Dhamrai,E-70/3,70/3,Dhamrai,Dhamrai Model Town"
"Mohammadpur,Dhaka,Mohammadpur,Dhaka,১৩/১ সলিমূল্লাহ্ রোড মোহাম্মদপুর","1 seat for rent, 13/1 Salimullah Road Mohammadpur, 2nd floor rent 2350 with gas water",0,https://www.thetolet.com/en/dhaka/mohammadpur/7719/bachelor-house-tolet-from-november,Rent,Bachelor House Tolet From November ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Mohammadpur,১৩/১ সলিমূল্লাহ্ রোড মোহাম্মদপুর
"Uttara,Dhaka,Uttara,Dhaka,সেক্টর ৬ (পার্কসংলগ্ন)","To-Let for (#STUDENT) Bachelor, (1 seat to be rented), Sector 6 (Next to Park), Facilities: *Attach balcony and washroom, *24 hours gas, water and electricity., * Fridge, filter and wifi, * Totally apolitical non-smoking environment., * Study environment, Conditions: , ★ Must be #student., ★ Must be non-smoking.",0,https://www.thetolet.com/en/dhaka/uttara/7715/bachelor-house-tolet-from-november,Rent,Bachelor House Tolet From November ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Uttara,সেক্টর ৬ (পার্কসংলগ্ন)
"Kushtia Sadar,Kushtia,Kushtia Sadar,Kushtia,মজমপুর টেকনিকাল স্কুল এর পিছুনে,হুমায়ুন স্যার (জিলা স্কুল)","Family flat for rent., 2 bedroom, 1 bathroom, 1 dining, 1 kitchen, 1 balcony, garage, geyser, security high., Location: Behind Mazampur Technical School, in front of Humayun Sir (Zilla School) house.",0,https://www.thetolet.com/en/kushtia/kushtia-sadar/7709/family-house-tolet-from-november,Rent,Family House Tolet From November ,1,2,0,,,,,,Apartment,Residential,,,,,"Kushtia Sadar,Kushtia,Kushtia Sadar,Kushtia,মজমপুর টেকনিকাল স্কুল এর পিছুনে,হুমায়ুন স্যার (জিলা স্কুল)"
"Bhanga,Faridpur,Bhanga,Faridpur,Beside Bhanga Police Station",,800000,https://www.thetolet.com/en/faridpur/bhanga/7699/family-house-tolet-from-december,Rent,Family House Tolet From November ,2,3,0,,,,,,Apartment,Residential,Yes,Yes,,,"Bhanga,Faridpur,Bhanga,Faridpur,Beside Bhanga Police Station"
"11,3,11,Mirpur,Dhaka,11,3,11,Mirpur,Dhaka,New Society Bazar Road","* January month theke 1 room sublet vara hobe..., , * Husbent and wife .... , , * Mirpur 11..., , * GAS Prepaid metre... , , * Current Prepaid metre...., , ** Wi Fi available....., , ** Total = 5800....( all include), , ** Contract= 01847111210....",580000,https://www.thetolet.com/en/dhaka/mirpur/7693/family-house-tolet-from-january,Rent,Family House Tolet From January ,1,1,12,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Mirpur,"11,3,11,11,3,11,New Society Bazar Road"
"Faridpur Sadar,Faridpur,Faridpur Sadar,Faridpur,হাবিবুর রহমান মৃধা সরক,ফরিদপুর কমার্শিয়াল কলেজ","3 flat house with fully modern and garage facilities on the ground floor of new two storied building will be rented from next month!, Location : Habibur Rahman Mridha Sarak, 200 yards north of Faridpur Commercial College (now Faridpur Govt. College), Kamalapur, Faridpur Sadar, Faridpur. , Flat-2:, 1 Bed, 1 Kitchen, 1 Bath, 1 Balcony, Common Drawing Dining. ,Flat-3:,Bed,1Kitchen,1Bath,1Balcony.,Bed Fully Tiled House, Thai Window & Separate Rod Grill Outside Thai,Utility Bill to Pay Own. The house must be confirmed by advance payment.",0,https://www.thetolet.com/en/faridpur/faridpur-sadar/7686/family-house-tolet-from-november,Rent,Family House Tolet From November ,1,1,0,,,,,,Apartment,Residential,,,,,"Faridpur Sadar,Faridpur,Faridpur Sadar,Faridpur,হাবিবুর রহমান মৃধা সরক,ফরিদপুর কমার্শিয়াল কলেজ"
"Gopalganj Sadar,Gopalganj,Gopalganj Sadar,Gopalganj,শিক্ষাপল্লি জনতা রোড।","2 rooms for rent from November, will be for bachelors. otherwise you can take the seat. The seat is empty. , Place: Shikshapalli Janata Road. , Ayan Niwas 3 locks",0,https://www.thetolet.com/en/gopalganj/gopalganj-sadar/7680/bachelor-house-tolet-from-november,Rent,Bachelor House Tolet From November ,1,1,0,,,,,,Apartment,Residential,,,,,"Gopalganj Sadar,Gopalganj,Gopalganj Sadar,Gopalganj,শিক্ষাপল্লি জনতা রোড।"
"১৭,৯৯৯,Adabor,Dhaka,১৭,৯৯৯,Adabor,Dhaka,আদাবর ১৭",,600000,https://www.thetolet.com/en/dhaka/adabor/7675/sublet-room-tolet-from-december,Rent,Sublet Room Tolet From December ,1,1,0,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Adabor,"১৭,৯৯৯,১৭,৯৯৯,আদাবর ১৭"
"Manikganj Sadar,Manikganj,Manikganj Sadar,Manikganj,শহরের প্রাণকেন্দ্র গংগাধর পট্টিতে","Two room small flat for rent on 5th floor fully tiled open environment in heart of city Gangadhar Patti., one big balcony, kitchen, rent Rs.6000, bill separately., gas / cylinder, from December.",600000,https://www.thetolet.com/en/manikganj/manikganj-sadar/7671/family-house-tolet-from-november,Rent,Family House Tolet From November ,1,2,0,,,,,,Apartment,Residential,,,,,"Manikganj Sadar,Manikganj,Manikganj Sadar,Manikganj,শহরের প্রাণকেন্দ্র গংগাধর পট্টিতে"
"Tangail Sadar,Tangail,Tangail Sadar,Tangail,দক্ষিণ কলেজ পাড়া,মহিষ খোলা রোড,আম তলা মোড় থেকে দক্ষিণ দিকে","The house will be rented. Ground floor (for family), 2 large bedrooms, 1 dining room, 2 bathrooms, 1 balcony, 1 kitchen, house rent 5000 Tk.",500000,https://www.thetolet.com/en/tangail/tangail-sadar/7667/family-house-tolet-from-november,Rent,Family House Tolet From November ,1,2,0,,,,,,Apartment,Residential,,,,,"Tangail Sadar,Tangail,Tangail Sadar,Tangail,দক্ষিণ কলেজ পাড়া,মহিষ খোলা রোড,আম তলা মোড় থেকে দক্ষিণ দিকে"
"Joydebpur,Joydebpur,Gazipur Sadar,Gazipur,Joydebpur,Joydebpur,Gazipur Sadar,Gazipur,Joydebpur Bus Stand Theke Porchime","One room will be rented in a two-room family house. , fully tiled pleasant surroundings, for small family., from 1st November, has line gas, very large dining space. , room with balcony. , Rent: 3000tk, Address: Jaidebpur Bus Sand, In front of Al Madina Mosque., Contact: 01317319481",300000,https://www.thetolet.com/en/gazipur/gazipur-sadar/7661/family-house-tolet-from-november,Rent,Family House Tolet From November ,1,1,0,,,,,,Apartment,Residential,Yes,Yes,Gazipur,,"Joydebpur,Joydebpur,Gazipur Sadar,Joydebpur,Joydebpur,Gazipur Sadar,Joydebpur Bus Stand Theke Porchime"
"Mohammadpur,Dhaka,Mohammadpur,Dhaka,শেখেরটেক ০৬,খ ব্লক.","A seat will be rented at Subishal Dining from 1st November. , Address: Shekhertek 06, Block B.",0,https://www.thetolet.com/en/dhaka/mohammadpur/7656/bachelor-house-tolet-from-november,Rent,Bachelor House Tolet From November ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Mohammadpur,"শেখেরটেক ০৬,খ ব্লক."
"Dhanmondi,Dhaka,Dhanmondi,Dhaka,ধানমণ্ডি 27 (সংকর) জাফরাবাদ হোসেন সাহেব গলি।","3500tk from November to Dhanmondi 27 (Sankar) Jaffrabad Hossain Saheb Goli., 1 seat for 2 person room (only 1 person) good student required., second floor, 4 room flat, 4 person stay, whole house controlled by cc camera. family home Not many people like., those who want to live alone, looking for a flat with good environment for studies,, then waiting for you, , no chance of intoxication water - no facilities.",350000,https://www.thetolet.com/en/dhaka/dhanmondi/7652/bachelor-house-tolet-from-november,Rent,Bachelor House Tolet From November ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Dhanmondi,ধানমণ্ডি 27 (সংকর) জাফরাবাদ হোসেন সাহেব গলি।
"Mymensingh Sadar,Mymensingh,Mymensingh Sadar,Mymensingh,১০৪ নং নওমহল,সানফ্লাওয়ার হাই স্কুলের পূর্ব পাশে","Flat house for rent (family), # 2nd floor., # 2 bedroom in new house, , # 1 dining space, kitchen, 1 bathroom, balcony,, # fully tiled modern house., # quiet noise free quiet environment., # Cylinder gas., # IPS lined. , # The flat has food and water lines. , # House rent 7500 Tk. (Except gas bill and current bill) , Address : No. 104 Naumahal, Mymensingh Sadar., East side of Sunflower High School.",0,https://www.thetolet.com/en/mymensingh/mymensingh-sadar/7647/family-house-tolet-from-november,Rent,Family House Tolet From November ,1,2,0,,,,,,Apartment,Residential,,,,,"Mymensingh Sadar,Mymensingh,Mymensingh Sadar,Mymensingh,১০৪ নং নওমহল,সানফ্লাওয়ার হাই স্কুলের পূর্ব পাশে"
"Kishoreganj Sadar,Kishoreganj,Kishoreganj Sadar,Kishoreganj,কিশোরগঞ্জ সরকারী মহিলা কলেজের পাশে","To_LeT, ( 3 room house for rent), ** in 4 floor of 5 floor house, * Two bed room (balcony with each room) , * Separate drawing room + , dining space, * Two bathroom ( 1 high commode) , * Open environment on three sides of the flat + CC camera security + Good arrangement of garage + 12 feet wide new road in front of the house, *** Cylinder gas must be used, Location :- Next to Kishoreganj Government Women's College",0,https://www.thetolet.com/en/kishoreganj/kishoreganj-sadar/7643/family-house-tolet-from-november,Rent,Family House Tolet From November ,2,2,0,,,,,,Apartment,Residential,,,,,"Kishoreganj Sadar,Kishoreganj,Kishoreganj Sadar,Kishoreganj,কিশোরগঞ্জ সরকারী মহিলা কলেজের পাশে"
"Badda,Dhaka,Badda,Dhaka,Sish Kabab Goli",,2200000,https://www.thetolet.com/en/dhaka/badda/7639/family-house-tolet-from-december,Rent,Family House Tolet From December ,2,2,0,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Badda,Sish Kabab Goli
"27/32,1207,12,Dhanmondi,Dhaka,27/32,1207,12,Dhanmondi,Dhaka,Sukrabad,Sobhanbag(near Daffodil University)","One seat in a room of 2 seats will be rented from next December 1. Seat fare is Rs 3500. , utilities bill is separate. (gas, wifi, bua, dirt, electricity etc) total bill is 4100/4200+- , , [2 room house (2 people in 2 rooms and one person in dining room) Rooftop available, our unit 3rd floor.], , 10 min drive from @Farmgate, 5 min drive from @dhanmondi campus Daffodil University. , , Location : Rasool Manjil, 13 Tallabagh, Dhanmondi 32 (Next to Daffodil Hostel), , P.S. Must be honest and good minded., Small house, Everyone lives together., Studying for job or preparing for BCS. You will get more priority. Also you can knock the students., , Thank you?",350000,https://www.thetolet.com/en/dhaka/dhanmondi/7634/hostel-seat-tolet-from-december,Rent,Hostel Seat Tolet From December ,2,2,0,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Dhanmondi,"27/32,1207,12,27/32,1207,12,Sukrabad,Sobhanbag(Near Daffodil University)"
"60 Feet Road,Dhaka,60 Feet Road,Dhaka,1/ka,1/7,Borobagh,Mirpur -2",,0,https://www.thetolet.com/en/dhaka/60-feet-road/7626/bachelor-house-tolet-from-december,Rent,Bachelor House Tolet From December ,3,3,0,,,,,,Apartment,Residential,,,Dhaka,,"60 Feet Road,60 Feet Road,1/Ka,1/7,Borobagh,Mirpur -2"
"১,৬০ফিট,৮৩/A,Mirpur,Dhaka,১,৬০ফিট,৮৩/A,Mirpur,Dhaka,Ahmed Nagar Kashmir More","House increase 18000, service charge 2500, current gas bill in meter.",1800000,https://www.thetolet.com/en/dhaka/mirpur/7620/family-house-tolet-from-november,Rent,Family House Tolet From November ,3,3,1350,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Mirpur,"১,৬০ফিট,৮৩/A,১,৬০ফিট,৮৩/A,Ahmed Nagar Kashmir More"
"Near Motaleb Plaza,Glob Nibash,Ramna,Dhaka,Near Motaleb Plaza,Glob Nibash,Ramna,Dhaka,Glob Nibash,9 No Shasaheb Road,Paribag",,3200000,https://www.thetolet.com/en/dhaka/ramna/7615/family-house-tolet-from-november,Rent,Family House Tolet From November ,3,3,1349,,,,,,Apartment,Residential,Yes,Yes,Dhaka,,"Near Motaleb Plaza,Glob Nibash,Ramna,Near Motaleb Plaza,Glob Nibash,Ramna,Glob Nibash,9 No Shasaheb Road,Paribag"
"Jatrabari,Dhaka,Jatrabari,Dhaka,পূর্ব জুরাইন আদর্শ বিদ্যালয় সংলগ্ন ৮ তলা ভবন","Family house available for rent,, move in this month, 3 rooms, 2 balconies, 2 baths (1 high, 1 low), dining + kitchen, with deep tube water, 2nd floor Tk 11,000, 4th floor west Side 10,000 Taka, 8th Floor East Side 7,500 Taka, 8th Floor West 7,000 Taka (2 Rooms + 2 Bath), Ground Floor Single Room 4,000 Taka (Bath/Kitchen Sharing), Building Security 24/7 CC cameras and security guards, mosquito nets on every balcony and window, road side, open on all sides, lots of light and air, 8-10 minutes by rickshaw from Shanir Akhra Asha Mosharf Market or Jurain Bikrampur Plaza (Rail Gate) in Dhaka., Shanir Akhara Zia 2 minutes distance on right side from 24 feet bridge on Sarani Road, 8 floor building adjacent to East Jurain Adarsh ​​Vidyalaya.",0,https://www.thetolet.com/en/dhaka/jatrabari/7609/family-house-tolet-from-november,Rent,Family House Tolet From November ,2,3,0,,,,,,Apartment,Residential,,,Dhaka,,"Jatrabari,Jatrabari,পূর্ব জুরাইন আদর্শ বিদ্যালয় সংলগ্ন ৮ তলা ভবন"
"Mohammadpur,Dhaka,Mohammadpur,Dhaka,Near Moyur Villa House 74,road 4 Mohammadpur","3 min distance from Mohammadpur bus stand family house for rent from November., fully tiled., new building., 7th floor: lift 6, 3 bed, 3 bath, drawing cum dining, kitchen, 3 balconies, lift available., #Rent - 20,000 tk , #Gas- line, #Electricity - Pre paid meter, gas and electricity bills are separate., #Service charge- 3500 tk, Location: Dhaka real estate housing near moyur villa house 74, road 4 mohammadpur.",2000000,https://www.thetolet.com/en/dhaka/mohammadpur/7604/family-house-tolet-from-november,Rent,Family House Tolet From November ,3,3,0,,,,,,Apartment,Residential,,,Dhaka,Mohammadpur,"Near Moyur Villa House 74,Road 4 Mohammadpur"
"Kushtia Sadar,Kushtia,Kushtia Sadar,Kushtia,কুষ্টিয়া হাউজিং ডি-ব্লক বাসা নং:২৩৭","Kushtia Housing D-Block House No:237. Family rent will be paid. 5th floor west side. 3 bedrooms, 3 balconies, 2 washrooms, 1 kitchen, 1 dining, 1 drawing room (flat fully tiled) and ground floor of a house with 2 bedrooms, 2 washrooms, 1 balcony, 1 dining room, 1 kitchen (fully tiled). Garage is available.",0,https://www.thetolet.com/en/kushtia/kushtia-sadar/7595/family-house-tolet-from-november,Rent,Family House Tolet From November ,2,3,0,,,,,,Apartment,Residential,,,,,"Kushtia Sadar,Kushtia,Kushtia Sadar,Kushtia,কুষ্টিয়া হাউজিং ডি-ব্লক বাসা নং:২৩৭"
"Mugda,Dhaka,Mugda,Dhaka,56/3 Maniknagar Wasa Road,Dhaka-1203",,1700000,https://www.thetolet.com/en/dhaka/mugda/7586/family-house-tolet-from-december,Rent,Family House Tolet From December ,3,3,12801400,,,,,,Apartment,Residential,Yes,Yes,Dhaka,,"Mugda,Mugda,56/3 Maniknagar Wasa Road,Dhaka-1203"
"13,A5 T2,Mirpur,Dhaka,13,A5 T2,Mirpur,Dhaka,Bijoy Rakeen City","Brand new flat. No one has done it now. , 3 Vedas come to the washroom with 3 Attached. , 10 locks and elevators are available all the time.",2200000,https://www.thetolet.com/en/dhaka/mirpur/7580/family-house-tolet-from-november,Rent,Family House Tolet From November ,4,3,1553,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Mirpur,"13,A5 T2,13,A5 T2,Bijoy Rakeen City"
"Mohammadpur,Dhaka,Mohammadpur,Dhaka,Building 27; Road No.: 09,Block E,Chandrima Model Town","Sublet for rent., 2 bedrooms, 2 attached bathrooms, 1 common toilet, 2 balconies, 1 kitchen, 1 dining, 1 drawing. , house semi furnished, lift all the time, generator system, security available., house rent 11 thousand (fixed), service charge 2 thousand, with electricity bill and gas bill separately., Building 27; Road No.: 09, Block E, Chandrima Model Town, Mohammadpur, Dhaka-1207",1100000,https://www.thetolet.com/en/dhaka/mohammadpur/7575/sublet-room-tolet-from-november,Rent,Sublet Room Tolet From November ,2,2,0,,,,,,Apartment,Residential,,,Dhaka,Mohammadpur,"Building 27; Road No.: 09,Block E,Chandrima Model Town"
