index,Title,Property ID,Area,Floor,num_bedrooms,num_bathrooms,Description,Location,Purpose,Garages,Building_nature,Air-Condition-amenity,Balcony-amenity,BBQ-area-amenity,CCTV-amenity,Driver-Room-amenity,Emergency-Exit-amenity,Fire-Exit-amenity,Fire-Hose-amenity,Guard-Room-amenity,Generator-amenity,Geyser-amenity,GYM-Room-amenity,Hot-Water-amenity,Intercom-amenity,Lift-amenity,Marble-Floors-amenity,Security-Guard-amenity,Single-Unit-amenity,Tiled-Floors-amenity,Commercial-Permission-amenity,Concealed-Phone-amenity,Fire-Place-amenity,Smoke-Detector-amenity,Community-Room-amenity,Garden-amenity,Landscape-Garden-amenity,Laundry-Room-amenity,Roof-Top-Garden-amenity,Washing-Machine-amenity,Wi-Fi-connectivity-amenity,Dual-Sinks-amenity,Swimming-Pool-amenity,Fire-Extinguisher-amenity,Floor-Type-amenity,Child-Playground-amenity,Central-Cooling-amenity,Central-Heating-amenity,Satelite-TV-amenity,Water-Sprinkler-amenity,Mosaic-amenity,Lawn-amenity,Home-Theater-amenity,Price
132,Spacious Exclusive Apartment,9265,3050.0,"1 , 3",4,5.0,"An exclusive apartment on 1st & 3rd floor with available 3050 sft. 4 Bed to attach bath, 1 Common bath, luxurious Drawing, Dining, family living & sarvent room , comfortable 3 Balcony . Gym, Child Playground, 1 parking, Generator back up full .",Baridhara Diplomatic Zone,For Rent,2,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,Yes,,,Yes,,Yes,Yes,,,,,,,300000.0
133,Charming Apartment,9180,1450.0,3,2,3.0,"An exclusive apartment Decorated on 3rd floor with available 3A apartment 1450 Sft  space . 2 bed with attach bath, 1 common bath room & 1 study, Luxurious Drawing, Dining, Living room or 1 parking . Lift , Generator full back up.",Gulshan 2,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,Yes,,,Yes,,,,,Yes,,,,,80000.0
134,Exclusive Brand new Apartment,9163,6500.0,6,4,4.0,"An exclusive apartment on 6 floor of 12 storied building. 4 bed with attach  4 bath are available with 6500 sft space. Luxurious Drawing, Dinning, Kitchen, Servant Room with attach bathroom. 2 car Parking, Lift, Gym, Swimming pool , full  Generator back up , all facilities are available.",Gulshan 2,For Rent,2,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,Yes,,,Yes,,,,Yes,Yes,,,,,,,,,,600000.0
135,Exclusive furnished Apertment,9115,2200.0,1,2,3.0,"2ndFloor2 Bed 2 Attached Bath, 1 Common Bath, Drawing, Dinning, lift genaretor & 1 Car parking.",Gulshan 2,For Rent,1,Apartment for Office,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,Yes,,,,,,,,,,150000.0
136,Exclusive semi-furnished apartment for rent,9073,21002100.0,3,3,3.0,"An exclusive apartment on 2nd floor . 3 bed, 3 bath . Luxurious Drawing, Dinning, Kitchen, Servant Room with attach bathroom. 1Parking, Lift, Generator full back up.",Banani,For Rent,1,Un furnished,Yes,Yes,,Yes,,,,,,Yes,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0
137,Decorated office space,9035,2200.0,2,3,3.0,"Location : Banani
2200 Sq.Ft floor space, 2nd Floor,  2 Attached Bath , 1 Common Bath, 3 Belcony , Lift Available, Generator Available, 1 Car parking.",Banani,For Rent,1,Apartment for Office,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,,,,,Yes,,,,,,,,,,130000.0
138,Corner Plot South & West View Office / Residence,9009,2300.0,"2 , 3",3,4.0,"Exclusively designed 2300 Sft space on 2nd  & 3rd floor with 3 bed, 4 bath for comfortable using. Semi Furnished office space / residential with car parking, Lift & Generator  full back up.",Gulshan 2,For Rent,1,Apartment for Office,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,150000.0
139,Luxury new interior semi furnished apartment,9005,4500.0,7,4,4.0,"Brand new Exclusive Bright semi furnished apartment at Baridhara Diplomatic zone luxury drawing, dining, living space Two lift & 100% power back up.",Baridhara Diplomatic Zone,For Rent,2,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,300000.0
140,Bright Brand New Unfurnished Apartment,8982,2200.0,"1, 2,",3,3.0,"Luxurious 10 Storied building, 2 apartment of 1st, 1 apartment of 2nd,  floor are available with 3 bed, 3 bath and 1 car parking. Each apartment has 2200 sft space for comgortable living. Servant room & bath, Kitchen are well designed. Belcony, 2 Lift, full Generator back up.",Banani,For Rent,1,Un furnished,,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,Yes,,Yes,,Yes,,,,,,,,Yes,Yes,,,,,,,,,120000.0
141,Brand new flat for rent at Gulshan North,8936,4000.0,4,3,4.0,"Luxury brand new apartment , 3750 sft , 4th floor, 3 large bed, with bath, Two Lift , roof top garden, GYM, Full generator back up. parking .",Gulshan 2,For Rent,2,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,,Yes,Yes,Yes,,,,Yes,,Yes,,250000.0
142,Exceptionally high standard Apartment,8886,3500.0,4,4,4.0,"Beautifully presented four bedroom flat on 3rd floor Large master bedroom with bath, well equiped kitchen, Two lift full generetor back up & Gym .",Gulshan 2,For Rent,2,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,Yes,,2850000.0
143,Semi furnished apartment,8765,3600.0,3,4,4.0,"Location : Gulshan 2
3600 Sq.Ft floor space, 3rd Floor Exclusive semi furnished Apartment , 4 Bed, Dining Space, Drawing Space , Living Space , Air – condition 3 Attached Bath , 1 Common Bath , Lift Generator & full generator back up 2 parking.",Gulshan 2,For Rent,2,Un furnished,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,,,Yes,,Yes,,,Yes,Yes,,,,,,,,,270000.0
144,Exclusive furnished apartment,8389,2150.0,3,3,3.0,"Exclusive furnished apartment 2150  sqft, 3 bed with attached wash room, verandas, all facilities provided, very airy and sufficient sunlight, lift and generetor back up.",Banani,For Rent,1,Residential Apartment,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,,,Yes,,65000.0
145,Apartment for rent,8388,2000.0,3,3,3.0,"Exclusive apartment 2000 SQFT 3 bed with drawing, dining living space  lift & power back up.",Gulshan 2,For Rent,1,Un furnished,,Yes,,,Yes,,,,,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,,,,,Yes,,Yes,,,,,,,,80000.0
146,Fully furnished apartment,8383,3000.0,2,3,4.0,"Fully furnished self-contained residential apartment 3000 SQFT 2nd floor 3 bed with drawing, dining living space Fully equipped kitchen, including cookware, homewares, oven, fridge, dishwasher and gas stove. lift & power back up.",Gulshan 2,For Rent,1,Full Furnished,Yes,Yes,,Yes,,,,Yes,,Yes,Yes,,,Yes,Yes,,,,Yes,,Yes,,,,Yes,,,,Yes,,,,Yes,,Yes,,,,,,,,95000.0
147,Duplex furnished apartment,8371,4400.0,5,4,4.0,"Exclusive Fully Furnished Apartment , 4 Bed With Bath Excellent Interior Design  Drawing,Dinning family Living, Nice Interior Kitchen, , 2 Car Parking, 2 Lift, 24 Hour Security Fully Generator Back Up",Gulshan 2,For Rent,2,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,Yes,,,,Yes,,Yes,,,,,,,,230000.0
148,Fully furnished self-contained residential apartment,8351,2500.0,4,3,3.0,"Fully furnished self-contained residential apartment 2500 SQFT 3 bed with drawing, dining living space Fully equipped kitchen, including cookware, homewares, oven, fridge, dishwasher and gas stove. lift & power back up.",Gulshan 2,For Rent,1,Full Furnished,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,120000.0
149,Luxury apartment for rent,8346,1850.0,4,3,3.0,"This is a self-contained 3 Bedroom, 3 Bath, balcony and city views 1850 sqft 4th floor, lift and power back up.",Banani,For Rent,1,Un furnished,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,1850.0
150,Brand new commercial space for rent,8168,7000.0,"3, 4, 9, , 13",3,3.0,"Location : Gulshan Avenue
7000 sqft each floor
3rd & 4th floor- 250 tk
9th & 13th floor- 225 Tk
Central AC
Generator- 100%
Parking- 5 car per floor
Lift- 4
% – Negotiable",Gulshan 2,For Rent,5,Commercial Space,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,225.0
151,Brand New Commercial Space For Rent,8141,5900.0,3,3,4.0,"Location : Boshundhora (Progoti Shoroni)
3rd floor
5900 sqft
4 Bathrooms
3-Car Parking
2-Lift
6 Months Advance
In front of Jamuna Future Park",Bashundhara R/A,For Rent,3,Commercial Space,,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,,,Yes,Yes,,Yes,,,,Yes,,,,Yes,,,,,,,,Yes,,,,,,,,Yes,,100.0
152,Bright apartment for rent,8113,1600.0,1,3,3.0,"06 Storied building ,1st floor, 1600 sqft 2nd floor, 3 bed with work station, lift, generetor & power back up.",Banani,For Rent,1,Un furnished,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,Yes,Yes,,,,Yes,,Yes,,,,,,,,40000.0
153,Exclusive Full Furnished Apartment at Banani north,8044,2450.0,4,3,3.0,"You can use as office or residence purpose 2450 sqft 3 room with attached bath,  lift and generator back up.",Banani,For Rent,1,Apartment for Office,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,Yes,,Yes,,,,,,,,130000.0
154,Excellent Apartment at gulshan north,8000,4200.0,2,4,4.0,"12 storied building, 4200 sqft 4 bed with attach large bath drawing, dining living 2 lift full generator back up.",Gulshan 2,For Rent,2,Un furnished,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,Yes,,220000.0
155,Brand new apartment,7974,3500.0,5,3,4.0,"12 storied  Brand new  Building 3500 sqft 5th floor 3 bed with large drawing, dining, living space 2 lift & full generetor back up.",Banani,For Rent,2,Residential Apartment,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,Yes,Yes,,Yes,,,,,,Yes,,250000.0
156,Exclusive furnished apartment,7948,1600.0,5,3,3.0,"Very poush & luxurious living, 1800 square feet, 3 bed with 2 attached bath, 3 Balcony, all facilities provided, very airy and sufficient sunlight, lift and generator back up.",Banani,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,85000.0
157,Fully furnished apartment,7825,2000.0,2 F,3,3.0,"Exclusive furnished apartment 3 bed with drawing dining living space, Lift, Generator & car parking available.",Gulshan 2,For Rent,1,Full Furnished,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,Yes,,Yes,,,,,,,,70000.0
158,Spacious Apartment For rent At Gulshan,7546,3000.0,1,3,2.0,"3000 sqft  apartment, 1st floor, 2 car parking lift and power back up.",Gulshan 2,For Rent,1,Residential Apartment,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,Yes,,Yes,,,,,,,,200000.0
159,Bright semi furnished apartment,7487,6700.0,2,5,5.0,"Bright semi furnished apartment 5 bed with large drawing, didning, living space two lift generetor and power back up.",Banani,For Rent,2,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,,,,,,Yes,,Yes,,,,,,,,700000.0
160,7816 sqft brand new commercial space for rent,7458,7816.0,1 to top,4,4.0,"Kemal Ataturk Avenue
7816 sqft per floor
Floor- 1st to top
Rent- 1st- 350 tk. / 2nd to top- 200 tk
Generator- 100 %
Lift- 3",Banani,For Rent,2,Commercial Space,,,,Yes,Yes,Yes,,Yes,Yes,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,200.0
161,2814 sqft & 3700 sqft brand new commercial space,7441,2814.0,3 to 7,3,3.0,"Gulshan-1
Floor- 6th
to 7th floor
Space- 2814 sqft (3th floor-3700sqft)
Generator- 100%
Parking- 2 car per floor
Lift- 2 passenger & 1 car
Rent- 150 tk
S/C- 10 tk",Gulshan 1,For Rent,2,Commercial Space,,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Yes,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,150.0
162,3000 & 6000 sqft Exclusive Commercial Space for rent,7436,7552.0,"7, 8, 9 , 11",3,3.0,"Location : Gulshan Aenue
Space : 3000 & 6000 sfft (open)
Floor : 7th, 8th, 9th & 11th
100% Generator backup & Central AC
Available Car Parking",Gulshan 2,For Rent,1,Commercial Space,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,Yes,,,,,Yes,,,,,,,,,,200.0
163,Luxury brand New apartment,7366,4000.0,7,4,4.0,"4000 Sq.Ft floor space,  7th ,  Floor available ,  Luxury Brand New  Apartment ,  4 Beds,  Dining Space, Drawing Space , Living Space ,  3 Attached Bath , 1 Common Bath,  3 Verandah ,  Lift Available, Generator fully back up , 2 Car parking",Gulshan 2,For Rent,2,Residential Apartment,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,300000.0
164,Brand new Full furnished at Uttara,7338,3000.0,"2,7,8",4,4.0,"Well Interior Design
apartment Exclusive Brand new Full furnished, 3000 sft , 2nd floor ,  4 Bed with 4 attach Bath, Drawing room, Dining space & Family Living space.
signal unit apartment .
Original picture update
Locaton Sector 7,",Uttara,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,Yes,,,Yes,Yes,Yes,,,,,Yes,,,,,,,,110000.0
165,Brand New Commercial Building,7300,3500.0,5,4,4.0,"100% Exclusive Brand New Commercial Space For Rent At Gulshan-2 Avenue .
3500 sft, 5th Floor, Available, 2 Car Parking, 2 Lift, Full Generator Back Up.",Gulshan 2,For Rent,2,Commercial Space,,,,Yes,,,Yes,,Yes,Yes,,,,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,Yes,,,,,,,,,,130.0
166,Exclusive Semi Furnished Apartment For Rent Gul-2,7297,5200.0,10,4,5.0,"Luxurious Lake View New Semi Furnished Apartment For Rent At North Gulshan-2.
5200 sft, 10th Floor, 4 bed with bath, 1 common bath, 3 car parking, full generator back up.
Near : Gulshan Society Park & Gulshan Mosque.",Gulshan 2,For Rent,3,Un furnished,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,,Yes,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,350000.0
167,4 bed apartment,7251,3000.0,2,4,4.0,"3000 sqft 2nd floor 4 bed with drawing, dining, living spase 1 parking lift & generetor back up",Banani,For Rent,1,Un furnished,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,,,,,,Yes,,,,,,,,,,
169,Exclusive semi-furnished apartment,6943,2400.0,,3,3.0,"Location : Banani
semi furnished 3200 Sq.Ft floor space, 8th Floor, 3 Bed with aircondition Dining Space, Drawing Space , Living Space , Attached Bath ,Common Bath , Lift Generator & power back up, 1 parking.",Banani,For Rent,1,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,200000.0
170,Apartment for rent,6902,1600.0,1,3,3.0,"Location : Gulshan 2
1600 Sq.Ft floor space, 1st Floor, 3 Bed, Dining Space, Drawing Space , Living Space , Attached Bath ,Common Bath , Lift Generator & power back up, 1 parking.",Gulshan 2,For Rent,1,Residential Apartment,,Yes,,Yes,,Yes,,,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,50000.0
171,Independent House For Rent,6791,6600.0,full building,7,7.0,"Two an  half storied independent house- 1 bigha land, 6600 sqft, 7 bed room, Available car parking facilities.",Gulshan 2,For Rent,2,Independent House-Villa,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,850000.0
172,Full furnished apartment,6789,3720.0,3,3,3.0,"Location : Gulshan 2
Full furnished apartment, 3720 Sq.Ft floor space, 3rd Floor, 3 Bed, Dining Space, Drawing Space , Living Space , Attached Bath ,Common Bath , Lift Generator & power back up 1 parking.",Gulshan 2,For Rent,1,Full Furnished,Yes,Yes,,Yes,,Yes,,,Yes,Yes,,,,Yes,Yes,,,Yes,Yes,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,200000.0
173,Commercial space for rent,6786,6500.0,5,4,4.0,"Exclusive commercial space for rent. 5th floor, 6500 sqft, generator 100% back up with car parking. 3 lift.",Gulshan 1,For Rent,3,Commercial Space,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,120.0
174,Commercial space for rent,6649,4229.0,5,3,3.0,"Exclusive commercial space for rent. 5th floor,7th F 3961 sq ft , generator 100% back up with car parking. 3 lift.",Gulshan 1,For Rent,2,Commercial Space,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,110.0
175,Traditional apartment !!!!!!!,6646,4500.0,5,4,4.0,"Location : Gulshan 2
4500 Sq.Ft floor space, 5th Floor Exclusive semi furnished Apartment , 4 Bed, Dining Space, Drawing Space , Living Space , aircondition 3 Attached Bath , 1 Common Bath , Lift Generator & full generetor back up 2 parking.",Gulshan 2,For Rent,2,Un furnished,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,300000.0
176,Commercial space for rent,6643,2000.0,917,4,4.0,"Exclusive commercial space for rent. 9th,17th floor, 8000 sqft, generator 80% back up with car parking. 2 lift.",Gulshan 1,For Rent,1,Commercial Space,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,Yes,Yes,,Yes,,,,,,,,,,,Yes,,,,,,,,,,100.0
177,Commercial space for rent,6573,6500.0,"2,4,6",2,3.0,"Exclusive open commercial space for rent per floor 6500 sqft, generator 100 % back up 2 lift & 2 car parking.",Gulshan 1,For Rent,3,Commercial Space,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,Yes,,Yes,,,,,,,,180.0
179,Commercial space for rent,6458,5000.0,Gf,3,4.0,"Exclusive open commercial space for rent. Ground,  floor Available 5000 sqft, generator 100 % back up with car parking 2 lift.",Gulshan 1,For Rent,3,Commercial Space,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,,Yes,,,,,,,,,,,Yes,,,,,,,,,,360.0
180,Commercial space for rent,6387,3049.0,2 ,4,4.0,"Exclusive open commercial 2nd floor, 3049 sqft, generator 100 % back up with car parking & 2 lift.",Gulshan 2,For Rent,2,Commercial Space,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,140.0
181,6700 sqft commercial space for rent,6336,6700.0,4,3,4.0,"Exclusive open commercial 4th floor, 6700 sqft, generator 100 % back up with car parking & 2 lift.",Gulshan 2,For Rent,2,Commercial Space,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,
182,Commercial space for rent,6182,2914.0,3,3,3.0,"Exclusive commercial space at Gulshan prime location 3rd floor, 2914 sqft, 100 % Generator back up 2 parking & 2 lift.",Gulshan 2,For Rent,1,Commercial Space,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,,,,,,,,,,530000.0
183,Commercial space for rent,6172,3500.0,5,3,3.0,"Exclusive open commercial space 5th floor, 3500 sqft, generator 100 % back up parking & 2 lift.",Gulshan 2,For Rent,2,Commercial Space,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,,Yes,,,,,,,,,,,Yes,,,,,,,,,,200.0
184,Good apartment,6163,3050.0,,3,3.0,"Apartment.1st floor 3050 sqft 4 Bed with Bath Drawing,Dinning , Living Space, Beautiful Balcony, Nice Interior Decoration Kitchen. 24 Hours Security & Generator Back Up.",Banani,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,120000.0
185,Commercial space for rent,6128,3700.0,1 ,3,3.0,"Exclusive open commercial space. 1st floor, 3700 sqft, generator  back up  3 car parking.",Banani,For Rent,1,Commercial Space,,,,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,,,Yes,,,,,,,,Yes,Yes,,,,,,,,,1000000.0
186,Commercial space for rent,6110,5000.0,10 11,3,4.0,"Exclusive open commercial space. 10th, 11th floor 5065 sqft, generator 100 % back up & car parking.",Banani,For Rent,3,Commercial Space,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,,Yes,,,,,,Yes,,,,,Yes,,,Yes,,,,,,,260.0
187,Commercial space,6101,2466.0,6,3,3.0,"Exclusive open commercial space. 6th floor, 2466 sqft, generator 100 % back up with car parking.",Banani,For Rent,1,Commercial Space,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,Yes,Yes,,,,,,,,Yes,,,,,Yes,,,,,,,,,,
188,Semi furnished apartment,6061,3500.0,4,3,3.0,"Luxurious semi -Furnished Apartment. 4th floor 3500 sqft 3 Bed with Bath, Exclusive Drawing,Dinning , Living Space, Beautiful Balcony, Nice Interior Decoration Kitchen.wodden floor Full central Ac 24 Hours Security & Generator Back Up.",Gulshan 2,For Rent,1,Un furnished,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,120000.0
189,Commercial space for rent,5919,4000.0,"2, 3 , 4",4,4.0,"Exclusive open commercial space. 2nd, 3rd, 4th floor, each floor 4000 sqft, full generator back up & car parking",Banani,For Rent,2,Commercial Space,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,,,Yes,,Yes,,,Yes,,,,,,,,Yes,,,,,,,,,,110.0
190,Commercial space for rent,5912,2600.0,"1,2,19,21,22",3,3.0,"Exclusive open commercial space. 2nd floor, each floor 2600 sqft, Security service and generator back up with car parking",Banani,For Rent,1,Commercial Space,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,,,Yes,,Yes,,,,,,,,,,,Yes,,,,,,,,,,60.0
191,Apartment for rent,5759,1800.0,3,3,3.0,"Nice apartment for rent 1800 Sqft 3 bed with luxury drawing, dining, living space no lift",Banani,For Rent,1,Residential Apartment,,Yes,,Yes,,Yes,,Yes,Yes,,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,,,,Yes,,,Yes,,,,,Yes,Yes,,,,,,,,,45000.0
192,Apartment for rent,5756,1733.0,5,3,3.0,"Apartment for rent 1733 Sqft 3 bed with luxury drawing, dining, living space lift & generator backup",Banani,For Rent,1,Residential Apartment,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,40000.0
193,Four bed exclusive apartment,5711,3000.0,1F,4,4.0,"Apartment , 3000 sft, 1st floor, 4 bed, 4bath, Luxury drawing dining and living space fully equipped kitchen.",Gulshan 2,For Rent,2,Residential Apartment,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,120000.0
194,Semi-furnished Apartment,5671,2500.0,2,4,4.0,"Semi-furnished Apartment. 2ndfloor 2500 sqft 4Bed with Bath, Exclusive Interior Decoration Drawing,Dinning , Living Space, Beautiful Balcony, Nice Interior Decoration Kitchen. 24 Hours Security & Generator Back Up.",Gulshan 2,For Rent,1,Un furnished,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,Yes,,,,,,,,Yes,,Yes,,,,,,,,100000.0
