area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,property_description,property_overview,property_url,purpose,city,locality,address,maintenance-staff-amenity,security-staff-amenity,facilities-for-disabled-amenity
9415.0,Apartment,NA,2.0,2.0,55000.0,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Youtube:,
1.https://www.youtube.com/watch?v=yp440KIPCvc,
2.https://www.youtube.com/watch?v=xB_m6tVSiok,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Built in Year : 2022,Size 875 Sq. Meter,Floors: 4,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1514/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
8608.0,Apartment,NA,2.0,2.0,48000.0,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Youtube:,
1.https://www.youtube.com/watch?v=yp440KIPCvc,
2.https://www.youtube.com/watch?v=xB_m6tVSiok,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Built in Year : 2022,Size 800 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1512/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
4035.0,Apartment,NA,1.0,2.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven,  A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Built in Year : 2022,Size 375 Sq. Meter,Floors: 4,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1520/,Rent,NA,Bashundhara R/A,"Cx Tower,1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
,Apartment,NA,2.0,1.0,55000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven,  A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Floors: 4,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1517/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
,Apartment,NA,2.0,2.0,55000.0,"Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All  the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/rental/apartment-furnished,
YouTube: https://www.youtube.com/watch?v=8kJKBg9LRkM&t=2s,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1476/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street, , .",yes,yes,NA
13988.0,Apartment,NA,3.0,3.0,15000.0,"-Lift,
-Is the generator,
-Seopt
-It filter water directly,
-In quality fittings and tiles,
-Cabinet,
-Adevable light air,
— The use of shades,
-The -detestable community,
-1 feet adjacent to the road,
-Availably transportation and transportation facilities from the front of the house,
-Garage (negotiable use),
-Raw market, school, mosque, at a distance distance
-Availably internet and cable services (like their own demand) without its hassle),
-Saplai does not have gas,
-Electricity meter is different, Kindly will call before coming to see.","Built in Year : 2022,Size 1300 Sq. Meter,Parking Spaces,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1484/,Rent,NA,,"21/16 Shalabgan,",yes,yes,NA
9415.0,Apartment,NA,2.0,2.0,55000.0,"Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All  the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/rental/apartment-furnished,
YouTube: https://www.youtube.com/watch?v=8kJKBg9LRkM&t=2s,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2022,Size 875 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1487/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
9415.0,Apartment,NA,2.0,1.0,55000.0,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
YouTube,
1. https://www.youtube.com/watch?v=yp440KIPCvc,
2. https://www.youtube.com/watch?v=xB_m6tVSiok,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2022,Size 875 Sq. Meter,Floors: 8,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1493/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
4035.0,Apartment,NA,1.0,2.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven,  A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Built in Year : 2022,Size 375 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1453/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
9415.0,Apartment,NA,2.0,2.0,55000.0,"Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.banglamart.com/co-living/studio-aptt-rentals/,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846,
JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Built in Year : 2022,Size 875 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1459/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street, , .",yes,yes,NA
9415.0,Apartment,NA,2.0,1.0,55000.0,"Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All  the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/rental/apartment-furnished,
YouTube: https://www.youtube.com/watch?v=8kJKBg9LRkM&t=2s,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2022,Size 875 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1489/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Steam Bath, Thermal massager,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Landscape With Sitting Arrangement,
.,
Please See more: https://www.reit.com.bd/projects/on-going-projects,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk&t=2s,
.,
Contact For Booking:,
+88 01712-553547,
+88 01921096842","Size 375 Sq. Meter,Parking Spaces,Electricity Backup,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1462/,Rent,NA,Bashundhara R/A,"Jcx Business Tower, Plot – 1136/A Japan Street, Block – I, Level-5, Suite # H, Dhaka 1229, Bangladesh,",yes,yes,NA
9415.0,Apartment,NA,2.0,2.0,55000.0,"Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.banglamart.com/co-living/studio-aptt-rentals/,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846,
JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Built in Year : 2022,Size 875 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1465/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street, , .",yes,yes,NA
,Apartment,NA,2.0,2.0,55000.0,"Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All  the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/rental/apartment-furnished,
YouTube: https://www.youtube.com/watch?v=8kJKBg9LRkM&t=2s,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1468/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street, , .",yes,yes,NA
8608.0,Apartment,NA,1.0,2.0,48000.0,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/…/2-bedroom-furnished…/,
YouTube:https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Built in Year : 2022,Size 800 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1450/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street, , .",yes,yes,NA
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Steam Bath, Thermal massager,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Landscape With Sitting Arrangement,
.,
Please See more: https://www.reit.com.bd/projects/on-going-projects,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk&t=2s,
.,
Contact For Booking:,
+88 01712-553547,
+88 01921096842","Size 375 Sq. Meter,Parking Spaces,Electricity Backup,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1473/,Rent,NA,Bashundhara R/A,"Jcx Business Tower, Plot – 1136/A Japan Street, Block – I, Level-5, Suite # H, Dhaka 1229, Bangladesh,",yes,yes,NA
9415.0,Apartment,NA,2.0,1.0,55000.0,"Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All  the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/rental/apartment-furnished,
YouTube: https://www.youtube.com/watch?v=8kJKBg9LRkM&t=2s,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2022,Size 875 Sq. Meter,Floors: 8,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator",https://www.toleter.com/property/bd1495/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
387360.0,Apartment,NA,1.0,2.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Please See more: https://www.banglamart.com/co-living/studio-aptt-rentals/,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Size 36000 Sq. Meter,Parking Spaces,Electricity Backup,CCTV Security,Elevator",https://www.toleter.com/property/bd1402/,Rent,NA,Bashundhara R/A,"Jcx Business Tower, Plot – 1136/A Japan Street, Block – I, Level-5, Suite # H, Dhaka 1229, Bangladesh,",yes,yes,NA
8608.0,Apartment,NA,2.0,2.0,48000.0,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/…/2-bedroom-furnished…/,
YouTube:https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Built in Year : 2022,Size 800 Sq. Meter,Floors: 2,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1408/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street, , .",yes,yes,NA
8608.0,Apartment,NA,2.0,2.0,48000.0,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website : https://www.hotels.com.bd/rental/2-bedroom-furnished-apartment-rental/,
YouTube : https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Size 800 Sq. Meter,Parking Spaces,Electricity Backup,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1411/,Rent,NA,Bashundhara R/A,"Jcx Business Tower, Plot – 1136/A Japan Street, Block – I, Level-5, Suite # H, Dhaka 1229, Bangladesh,",yes,yes,NA
4035.0,Apartment,NA,1.0,2.0,2.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Please See more: https://www.ecommerce.com.bd/…/servic…/studio-apartment/,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Built in Year : 2022,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1421/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street, , .",yes,yes,NA
,Apartment,NA,2.0,2.0,48000.0,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/…/2-bedroom-furnished…/,
YouTube:https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1427/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street, , .",yes,yes,NA
8608.0,Apartment,NA,2.0,2.0,48000.0,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/…/2-bedroom-furnished…/,
YouTube:https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Built in Year : 2022,Size 800 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1433/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street, , .",yes,yes,NA
8608.0,Apartment,NA,2.0,2.0,48000.0,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/…/2-bedroom-furnished…/,
YouTube:https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Built in Year : 2022,Size 800 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1414/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street, , .",yes,yes,NA
8608.0,Apartment,NA,2.0,2.0,48000.0,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website : https://www.hotels.com.bd/rental/2-bedroom-furnished-apartment-rental/,
YouTube : https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Size 800 Sq. Meter,Floors: 2,Parking Spaces,Electricity Backup,Balcony,CCTV Security,Elevator",https://www.toleter.com/property/bd1393/,Rent,NA,Bashundhara R/A,"Jcx Business Tower, Plot – 1136/A Japan Street, Block – I, Level-5, Suite # H, Dhaka 1229, Bangladesh,",yes,yes,yes
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Please See more: https://www.ecommerce.com.bd/…/servic…/studio-apartment/,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Built in Year : 2022,Size 375 Sq. Meter,Floors: 2,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1396/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
4035.0,Apartment,NA,1.0,2.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven,  A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Built in Year : 2022,Size 375 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1441/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street, , .",yes,yes,yes
4035.0,Apartment,NA,1.0,2.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven,  A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Built in Year : 2022,Size 375 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1448/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
