Amenities,Bathroom,Bedroom,Description,Location,MainFeatures,NearByLocation,PricePerMonth,PropertyType,Status,url
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Laundry Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.",", ","Built in Year : 2021,Size 800 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Others Main Features",Airport ( 20 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1016/
"kitchens: 1,Attached Bathroom,Dining Room",Bathrooms: 1,Bedrooms: 1,"1 & 2 Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Click For One Room:,
https://www.hotels.com.bd/…/residential-studio…,
Click For Two Room:,
https://www.hotels.com.bd/…/residential-furnished…,
.,
Contact For Booking:,
88 01712-553547,
88 01921096842,
88 01921096846","JCX Tower, 1136/A, Block-I, Level -5, Japan Street, Bashundhara R/A, , .","Size 375 Sq. Meter,Parking Spaces,Electricity Backup,Balcony,CCTV Security",Airport ( 30 km ),2 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1027/
"kitchens: 1,Attached Bathroom,Dining Room",Bathrooms: 1,Bedrooms: 1,"1 & 2 Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Click For One Room:,
https://www.hotels.com.bd/…/residential-studio…,
Click For Two Room:,
https://www.hotels.com.bd/…/residential-furnished…,
.,
Contact For Booking:,
88 01712-553547,
88 01921096842,
88 01921096846","JCX Tower, 1136/A, Block-I, Level -5, Japan Street, Bashundhara R/A, , .","Size 375 Sq. Meter,Parking Spaces,Electricity Backup,Balcony,CCTV Security","Airport ( 30 km ),Nearby Hospitals",2 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1024/
"kitchens: 1,Attached Bathroom,Sitting Room",Bathrooms: 1,Bedrooms: 1,"1 & 2 Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Click For One Room:,
https://www.hotels.com.bd/…/residential-studio…,Click For Two Room:,
https://www.hotels.com.bd/…/residential-furnished…,
.,
Contact For Booking:,
88 01712-553547,
88 01921096842,
88 01921096846","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A, ","Built in Year : 2020,Size 300 Sq. Meter,Floors: 10,Parking Spaces,Electricity Backup,Beautiful View,Balcony,CCTV Security,Others Main Features","Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",1 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd942/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Laundry Room",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,Please See more:  https://www.reit.com.bd/projects/on-going-projects","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2021,Size 800 Sq. Meter,Floors: 7,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 10 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1030/
"Attached Bathroom,Servant Quarters",,Bedrooms: 2,Looking for a residential apartment for rent in Bashundhara R/A . The apartment must be in a prime location with modern facilities. Apartment size we are looking for is about 1000 sqft.  Only respected owners can contact us.,"JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2016,Size 100 Sq. Meter,Parking Spaces,Electricity Backup,Balcony,CCTV Security,Elevator",Airport ( 20 km ),1 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd945/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room",Bathrooms: 2,Bedrooms: 2,"সুন্দর মনোরম পরিবেশে একটা নতুন বিল্ডিং এর নিচতলার একটা ফ্ল্যাট ভাড়া হবে,
 শুধুমাত্র ফ্যামিলি দের জন্য,
 👉👉দুইটা বেড রুম,
 👉👉একটা এটাস্ট বাথরুম বেডরুমের সঙ্গে আর একটা কমন বাথরুম,
👉👉 একটা ডাইনিং রুম,
 👉👉একটা কিচেন,
 👉👉একটা ব্যালকনি,
 👉পর্যাপ্ত আলো বাতাসের সাপ্লাই পানি  ব্যবস্থা আছে,
 সিকিউরিটি 100%,
🙋ডিসেম্বর মাস থেকে উঠতে পারবেন,
 🔥বাড়ি ভাড়া  7500 tk….. আলোচনা সাপেক্ষে কিছু কমানো যেতে পারে!!,
 লোকেশন :– বাগমারা প্রাইমারি স্কুলের অপজিটে,
 বাড়ির মালিকের নাম্বার  :– 01931284664","বাগমারা প্রাইমারি স্কুলের অপজিটে, খুলনা, ","flooring,Beautiful View,Balcony",Nearby Schools,7500 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd951/
"kitchens: 1,Attached Bathroom",Bathrooms: 1,Bedrooms: 2,We are looking for a Residential apartment (1000 Sqft) for Rent in Bashundhara R/A . The apartment must be in a Prime Location with modern facilities. Only respected owners can contact with us.,", .","Size 1000 Sq. Meter,Floors: 10,Parking Spaces,Electricity Backup,Waste Disposal,Balcony,CCTV Security,Elevator",Airport ( 30 km ),1 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd944/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room",Bathrooms: 1,Bedrooms: 1,"We are looking for a Residential apartment (1000 Sqft) for Rent in Bashundhara R/A.,
The apartment must be in a Prime Location with modern facilities. Only respected owners can contact with us. ,Contact For Booking:,
88 01712-553547,
88 01921096846 ,JCX TOWER, 1136/A, Block-I, Level 5,
Japan Street, Bashundhara R/A","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A, , .","Size 1000 Sq. Meter,Parking Spaces,Electricity Backup,Beautiful View,Balcony,CCTV Security,Others Main Features","Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",1 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd959/
,Bathrooms: 2,Bedrooms: 1,পাবনা সিংগা বাই পাস বাজারের সঙ্গে (সাবেক কৃষী ব্যাংক ভবন ) মনোরম পরিবেশে সরকারি বেসরকারি বীমা যেকোনো অফিস ভাড়া দেয়া হইবে।প্রতি ফ্লাট পনেরশো বর্গফুট আলাপ-আলোচনা স্বপক্ষে ভাড়া নির্ধারণ করা হইবে। ঠিকানা  আলহাজ্ব আবুল  কাশেম সিঙ্গা বাজার পাবনা সিংগা বাজার।,"পাবনা সিংগা বাই পাস বাজারের সঙ্গে (সাবেক কৃষী ব্যাংক) শেখ ভবন -2, ভাড়া দেওয়া হইবে।, ",,, Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd962/
"kitchens: 1,Attached Bathroom",Bathrooms: 2,Bedrooms: 2,,"JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A, , .","Size 800 Sq. Meter,Parking Spaces,Electricity Backup,Beautiful View,Balcony,Others Main Features","Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",45000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd970/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Laundry Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2021,Size 800 Sq. Meter,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator",Airport ( 15 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd972/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room",Bathrooms: 2,Bedrooms: 2,"Fully  Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser,  Refrigerator, WiFi, Microwave oven, A/C.","JCX Tower, 1136/A, Block-I, Level -5, Japan Street, Bashundhara R/A, ","Size 800 Sq. Meter,Parking Spaces,Electricity Backup,Balcony,CCTV Security,Others Main Features",Airport ( 30 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd984/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room",Bathrooms: 2,Bedrooms: 2,"Fully  Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser,  Refrigerator, WiFi, Microwave oven, A/C.","JCX Tower, 1136/A, Block-I, Level -5, Japan Street, Bashundhara R/A, ","Size 800 Sq. Meter,Parking Spaces,Electricity Backup,Beautiful View,Balcony,Others Main Features",Airport ( 30 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd993/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room",Bathrooms: 2,Bedrooms: 2,"বাড়ী-ভাড়া- ফ্যামিলি ( দ্বিতীয় তলা),
১ লা ডিসেম্বর ২০২২ ইং হইতে।,
ঠিকানা-  প্রান্তিকা আবাসিক এলাকা,নিরালা, খুলনা(আশরাফুল উলুম উম্মে হাবিবা মহিলা মাদ্রাসার পাশে)।,
মোবাইলঃ ০১৯১৩-২৬২১৮২,
বিস্তারিত:,
* আধুনিক ফিটিংস ও সম্পূর্ণ টাইলস্ করা,
* ২ টা বড় বেডরুম,
* ২ টা বারান্দা,
* ১টা বড় ডাইনিং + ড্রয়িং স্পেস,
* ২ টা বাথরুম (১ টা এটাচ বাথরুম-হাই কমোড ও ১টা কমন বাথরুম),
* পর্যাপ্ত আলো- বাতাস,
* ১ টা kitchen,
* পার্কিং সুবিধা,
* AC, গিজার ও ওয়াশিং মেশিন এর সুবিধা,
ভাড়া- ৯০০০/=,
অন্যান্য সুবিধা-,
২৪ ঘণ্টা পানির সু-ব্যবস্থা, সাবমারসিবল লাইন, পার্কিং সুবিধা।","প্রান্তিকা আবাসিক এলাকা,নিরালা, খুলনা(আশরাফুল উলুম উম্মে হাবিবা মহিলা মাদ্রাসার পাশে), ","Parking Spaces,Beautiful View,Balcony,Others Main Features",,9000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd912/
"Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Servant Quarters",,,We are looking for Commercial Office Space (Sqft 1000+) for rent in a prime location with availability of modern facilities. The office space has to be in a good condition. Only respected owners can contact with us.,"JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2018,Size 1000 Sq. Meter,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,CCTV Security,Elevator,Others Main Features",Airport ( 20 km ),1 Tk,Flat / Apartment,For Sale,https://www.toleter.com/property/bd920/
"kitchens: 1,Attached Bathroom,Sitting Room",Bathrooms: 1,Bedrooms: 1,"We are looking for a Residential Apartment (1000 Sqft) for Rent in Bashundhara R/A. The apartment must be in a Prime Location with modern facilities. Only respected owners can contact with us.,Contact For Booking:,
88 01712-553547,
88 01921096846,JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Floors: 10,Parking Spaces,Electricity Backup,Beautiful View,Balcony,CCTV Security,Others Main Features","Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",1 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd917/
kitchens: 1,Bathrooms: 2,Bedrooms: 2,"Fully  Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser,  Refrigerator, WiFi, Microwave oven, A/C.,
Contact For Booking:,
88 01712-553547,
88 01921096846,
JCX TOWER, 1136/A, Block-I, Level 5,
Japan Street, Bashundhara R/A",", .","Size 800 Sq. Meter,Parking Spaces,Electricity Backup,Beautiful View,Balcony,CCTV Security,Others Main Features","Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Other Nearby Places",48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd987/
"Attached Bathroom,Servant Quarters",Bathrooms: 2,Bedrooms: 2,বসুন্ধরা আর/এ তে রেসিডেন্সিয়াল এপার্টমেন্ট ভাড়া নিতে চাই (বর্গফুট ১০০০) । এপার্টমেন্টটি আধুনিক সুযোগ-সুবিধা সহ প্রাইম লোকেশনে হতে হবে। শুধুমাত্র সম্মানিত মালিকগণ আমাদের সাথে যোগাযোগ করতে পারেন। ধন্যবাদ।,"JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2018,Size 1000 Sq. Meter,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features","Airport ( 20 km ),Nearby Hospitals,Nearby Restaurants,Other Nearby Places",1 Tk,Flat / Apartment,For Sale,https://www.toleter.com/property/bd914/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Laundry Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2021,Size 800 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 20 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd990/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room",Bathrooms: 1,Bedrooms: 1,We are looking for a residential apartment (1000 Sqft) for rent in Bashundhara R/A . The apartment must be in a prime location with modern facilities. Only respected owners can contact us.,"JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A, ","Built in Year : 2020,Size 1000 Sq. Meter,Floors: 8,Parking Spaces,flooring,Electricity Backup,Beautiful View,Balcony,CCTV Security,Others Main Features","Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",1 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd896/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,বসুন্ধরা আর/এ তে রেসিডেন্সিয়াল এপার্টমেন্ট ভাড়া নিতে চাই (বর্গফুট ১০০০) । এপার্টমেন্টটি আধুনিক সুযোগ-সুবিধা সহ প্রাইম লোকেশনে হতে হবে। শুধুমাত্র সম্মানিত মালিকগণ আমাদের সাথে যোগাযোগ করতে পারেন। ধন্যবাদ।,"JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2018,Size 1000 Sq. Meter,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 20 km ),1 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd899/
"kitchens: 1,Attached Bathroom",Bathrooms: 1,Bedrooms: 1,"We are looking for a residential apartment (1000 Sqft) for rent in Bashundhara R/A . The apartment must be in a prime location with modern facilities. Only respected owners can contact with us.,Contact For Booking:,
88 01712-553547,
88 01921096846,JCX TOWER, 1136/A, Block-I, Level 5,
Japan Street, Bashundhara R/A","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A, ","Built in Year : 2020,Size 1000 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Beautiful View,Balcony,Others Main Features","Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places", Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd904/
"kitchens: 1,Attached Bathroom,Dining Room,Sitting Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,"বসুন্ধরা আর/এ তে রেসিডেন্সিয়াল এপার্টমেন্ট ভাড়া নিতে চাই (বর্গফুট ১০০০) । এপার্টমেন্টটি আধুনিক সুযোগ-সুবিধা সহ প্রাইম লোকেশনে হতে হবে। শুধুমাত্র সম্মানিত মালিকগণ আমাদের সাথে যোগাযোগ করতে পারেন। ধন্যবাদ।,যোগাযোগ করুনঃ,
০১৭১২-৫৫৩৫৪৭,
০১৯২১০৯৬৮৪৬,লোকেশন:,
জেসিক্স টাওয়ার, ১১৩৬/এ, ব্লক-আই, লেভেল ৫,
জাপান স্ট্রিট, বসুন্ধরা আর/এ","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2017,Size 1000 Sq. Meter,Parking Spaces,Electricity Backup,Waste Disposal,Beautiful View,CCTV Security,Elevator",Airport ( 20 km ),1 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd925/
Attached Bathroom,,,"আমরা আধুনিক সুযোগ-সুবিধা সহ প্রাইম লোকেশনে কমার্শিয়াল অফিস স্পেস ভাড়া নিতে চাই (বর্গফুট ১০০০+) । অফিস স্পেসটি ভালো অবস্থায় থাকতে হবে। শুধুমাত্র সম্মানিত মালিকগণ আমাদের সাথে যোগাযোগ করতে পারেন। ধন্যবাদ।,যোগাযোগ করুনঃ,
০১৭১২-৫৫৩৫৪৭,
০১৯২১০৯৬৮৪৬,লোকেশন:,
জেসিক্স টাওয়ার, ১১৩৬/এ, ব্লক-আই, লেভেল ৫,
জাপান স্ট্রিট, বসুন্ধরা আর/এ",", ","Built in Year : 2020,Size 1000 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Beautiful View,CCTV Security,Others Main Features","Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",1 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd923/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room",Bathrooms: 2,Bedrooms: 2,We are looking for a residential apartment (1000 Sqft) for rent in Bashundhara R/A . The apartment must be in a prime location with modern facilities. Only respected owners can contact us.,"JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2015,Size 1000 Sq. Meter,Parking Spaces,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features","Airport ( 20 km ),Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",1 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd906/
"kitchens: 1,Attached Bathroom",Bathrooms: 1,Bedrooms: 1,"We are looking for a Residential Apartment (1000 Sqft) for Rent in Bashundhara R/A. The apartment must be in a Prime Location with modern facilities. Only respected owners can contact with us.,Contact For Booking:,
88 01712-553547,
88 01921096846,JCX TOWER, 1136/A, Block-I, Level 5,
Japan Street, Bashundhara R/A","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A, ","Built in Year : 2020,Size 1000 Sq. Meter,Floors: 10,Parking Spaces,Electricity Backup,Beautiful View,Balcony,CCTV Security,Others Main Features","Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport",1 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd928/
"kitchens: 1,Dining Room",Bathrooms: 2,Bedrooms: 2,"দুই বেড রুম,রান্না ঘর, ডাইনিং ও ড্রইং রুম, দুই বাথরুম, বারান্দা দ্বিতীয় তলায় ভাড়া দেওয়া হবে ।,
স্থান :হান্নান সড়ক (হরিনটানা থানার পাশে ), জিরো পয়েন্ট, খুলনা ।,
যোগাযোগ – 01718449421,
ভাড়ার পরিমাণ – 7500/-,Source: Facebook","হান্নান সড়ক (হরিনটানা থানার পাশে ), জিরো পয়েন্ট, ",Balcony,,7500 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd888/
"Attached Bathroom,Common Bathroom,Dining Room,Laundry Room,Servant Quarters",,,We are looking for Commercial Office Space (Sqft 1000+) for rent in a prime location with availability of modern facilities. The office space has to be in a good condition. Only respected owners can contact with us.,"JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2018,Size 1000 Sq. Meter,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features","Airport ( 1 km ),Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",1 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd882/
"kitchens: 1,Attached Bathroom",Bathrooms: 1,Bedrooms: 1,"Rent for Job Holder / Small Family / Small Office,– Single Brand New Room With Attached Toilet and Kitchen,– Very Well Furnished.,– No one used the rooms till now. You will become the first rent. Whole building is newly built.","Banasree, BLOCK C, ROAD NO 12, ",Built in Year : 2022,"Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",8000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd940/
"kitchens: 1,Attached Bathroom,Dining Room",Bathrooms: 3,Bedrooms: 3,"অফিস/ফ্যামিলি বাসা ভাড়া দেওয়া হবে।,
রুমঃ ৩,
বাথরুমঃ ৩( প্রত্যেক বেড রুমে বাথরুম),
ড্রয়িং রুমঃ ১,
ডাইনিং রুমঃ ১,
ঠিকানাঃ নিরালা আবাসিক এলাকা,
রোডঃ ১৮,
বাড়িঃ৩৩৪,
ভাড়াঃ ১৭ হাজার,
যোগাযোগঃ 01987738791,
বি দ্রঃ  গাড়ি রাখার জন্য গ্যারেজ আছে।","নিরালা আবাসিক এলাকা, রোডঃ ১৮, ","Parking Spaces,Balcony",,17000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd894/
"kitchens: 1,Attached Bathroom,Sitting Room,Servant Quarters",Bathrooms: 1,Bedrooms: 1,"1 & 2 Room Furnished Serviced Apartment RENT in Bashundhara R/A.,
Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Click For One Room:,
https://www.hotels.com.bd/…/residential-studio…,
Click For Two Room:,
https://www.hotels.com.bd/…/residential-furnished…,
.,
Contact For Booking:,
88 01712-553547,
88 01921096842,
88 01921096846",", ","Built in Year : 2020,Size 300 Sq. Meter,Floors: 10,Parking Spaces,Electricity Backup,Beautiful View,Balcony,CCTV Security,Others Main Features","Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",30000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd846/
"kitchens: 1,Common Bathroom,Dining Room,Sitting Room,Servant Quarters",Bathrooms: 1,Bedrooms: 1,"1 & 2 Room Furnished Serviced Apartment RENT in Bashundhara R/A.,
Short-Term Rentals with Kitchen, TV,  Refrigerator, WiFi, Microwave,
oven, A/C.,
.,
Facilities Available :,
 > Swimming Pool,,
 > Gym with 24/7 and Jogging track,
 > Daily Room & Bathroom Cleaning,
 > Multi-purpose Hall Room With Full AC,
 > Steam Bath, Thermal massager,
 > Landscape With Sitting Arrangement,
.,
Click For One Room:,
https://www.hotels.com.bd/…/residential-studio…,
Click For Two Room:,
https://www.hotels.com.bd/…/residential-furnished…,
.,
Contact For Booking:,
88 01712-553547,
88 01921096842,
88 01921096846","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2018,Size 375 Sq. Meter,Floors: 8,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features","Airport ( 15 km ),Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",35000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd858/
"kitchens: 1,Attached Bathroom,Sitting Room",Bathrooms: 1,Bedrooms: 4,"Fully Furnished Co-working Space Rent In Dhaka,
Our adaptable, interactive, air-conditioned co-working office spaces in Dhaka come with modern, amenities for everything your company needs for success, including high speed broadband, and limitless refreshments. Our office space blends first-rate service with best amenities to offer office space solutions that are specific to your company’s requirements.,
.,
Details,
>Property Size: 2100 Sqft,
>Floor: 5th Floor,
>Unit Per Floor: 02,
>Lift: 01 available,
>Parking: 1,Benefits,
>Super-Fast Internet,
>Continual Refreshment,
>Standard Meeting room,
>Comfortable Desk Service,
>Separate USB & Electricity Ports,
>Printing ,Scanning , Photocopying,
>Lockable Storage Spaces & Cabinets,
>24 Hours Security, Friendly Environment,
.,
Contact For Booking:,
88 01712-553547,
88 01921096846",", ","Built in Year : 2020,Size 2100 Sq. Meter,Parking Spaces,Electricity Backup,Beautiful View,CCTV Security,Others Main Features","Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",2 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd862/
"Attached Bathroom,Common Bathroom,Sitting Room",Bathrooms: 1,Bedrooms: 3,"Fully Furnished Shared Office Space Rent In Dhaka,
Our adaptable, interactive, air-conditioned shared office spaces in Dhaka come with modern, amenities for everything your company needs for success, including high speed broadband, and limitless refreshments. Our shared office blends first-rate service with best amenities to offer office space solutions that are specific to your company’s requirements.,
.,
Benefits,
>Super-Fast Internet,
>Continual Refreshment,
>Standard Meeting room,
>Comfortable Desk Service,
>Separate USB & Electricity Ports,
>Printing ,Scanning , Photocopying,
>Lockable Storage Spaces & Cabinets,
>24 Hours Security, Friendly Environment,
.,
Contact For Booking:,
88 01712-553547,
88 01921096846","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A, ","Built in Year : 2020,Size 1700 Sq. Meter,Floors: 10,Parking Spaces,Electricity Backup,Beautiful View,CCTV Security,Others Main Features","Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",1 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd869/
