details,fire-exit-amenity,electricity-backup-amenity,gym-amenity,elevators-in-building-amenity,flooring-amenity,parking-spaces-amenity,price,building_nature,property_id,area,building_type,purpose,lawn-or-garden-amenity,swimming-pool-amenity,title,total_bathrooms,district,city,address,country
"1900 sft Commercial Office Open Space At Banani
Fully Commercial Building according to RAJUK new rules at Banani , 1900 sft open office space at 6th floor with 3  toilet, pantry,  bright, 2lifts, emergency stair case, modern fire fitting system  etc.
Parking 01 Slot
Generator 100% Power backup",Yes,Full Backup,,Yes,6,1 ,230000.0,Commercial,142,1900,Office,Rent,,,1900 Sqft Commercial Office Space Available For Rent At Banani,3,Banani, Dhaka,Banani,Bangladesh
"50000 Sqft fully ready and non-bonded commercial ware house located in Kersniganj . Fully secured and protected with professional security guard, CC Camera and others equipment etc. loading - unloading facilities, Please call only for foreign or multinational, corporate organization for warehouse or factory.",Yes,No,,,1,5 ,750000.0,Commercial,144,50000,Warehouse,Rent,,,"50000 Sqft Warehouse Rent Available For Rent At Demra, Narayanganj",4,Narayanganj, Dhaka, Narayangonj,Bangladesh
"Full Furnished 3,686 sft Commercial Office Open Space At Gulshan Avenue Fully Commercial Building according to RAJUK new rules at Gulshan Avenue, 3,686 sft open office space at 13th floor with 3 executive toilet, pantry, nice views, floor finished by mirror polish tiles, bright, 2lifts, emergency stair case, modern fire fitting system, car lift facilities etc. Parking 01 Slot Generator 100% Power backup",Yes,Full Backup,,Yes,13,1 ,515000.0,Commercial,145,3686,Office,Rent,Yes,,Furnished Office Available For Rent At Gulshan Avenue,4,Gulshan, Dhaka,Gulshan Avenue,Bangladesh
"6000 sft Commercial Office Open Space At Gulshan Avenue
Fully Commercial Building according to RAJUK new rules at Gulshan Avenue, 6000 sft open office space at 10th floor with 3 executive toilet, pantry, nice views, floor finished by mirror polish tiles, bright, 4lifts, emergency stair case, modern fire fitting system facilities etc.
Parking 04 Slot
Generator 100% Power backup",Yes,Full Backup,Yes,Yes,10,4 ,1200000.0,Commercial,147,6000,Open Floor,Rent,Yes,Yes,6000 sqft furnished commercial office space available for rent,5,Gulshan, Dhaka,Gulshan Avenue,Bangladesh
"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven,  A/C.
. 
Facilities Available : 
> Grocery Shop, BBQ corner
> Swimming Pool,Theatre room
> Gym with 24/7 and Jogging track 
> Daily Room & Bathroom Cleaning 
> Multi-purpose Hall Room With Full AC 
> Steam Bath, Thermal massager
> Landscape With Sitting Arrangement
. 
Website: https://www.hotels.com.bd/two-room 
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk
. 
Contact For Booking: 
+88 01712553547 
+88 01921096842",Yes,Full Backup,,Yes,5,1 ,36000.0,Residential,772,375,Service Apartment,Rent,,,Two Room Furnished Serviced Apartment RENT in Bashundhara R/A,1,Bashundhara Residential Area, Dhaka, Bashundhara R/A,Bangladesh
"4723 sft Commercial Office Open Space At Lalmatia.
Fully Furnished Commercial ready office  at 8th floor with 3 executive toilet, pantry, nice views, floor finished by mirror polish tiles, bright, 2lifts, emergency stair case, modern fire fitting system etc.

Facilities: 
    Plug-In office facilities with modern facilities
    Covered Parking
    02 lifts
    Central reception area
    Full generator back up 
    24 hrs security surveillance
    Dormitory facilities
    In premises training venue facility
    Efficient building & safety management",Yes,Full Backup,,Yes,7,1 ,330610.0,Commercial,146,4723,Office,Rent,Yes,,4723 Sqft Furnished  Commercial Office Space Available For Rent AT Lalmatia,4,Lalmatia, Dhaka,Lalmatia,Bangladesh
"*সম্পুর্ন  নতুন  এবং  সদ্য নিমিত* (suitable for office location)
(সম্পন্ন নিরিবিলি পরিবেশ)
১৬০০ স্কয়ার ফিট ( 2nd floor) 
প্রতি ফ্লোর একটি করে ইউনিট
৩ বেড রুম
১ ড্রইং কাম ডাইনিং (সংযুক্ত)
১ কিচেন (সিলিন্ডার মিটার সিস্টেম ) (attached small balcony) 
৩ বাথ রুম
২ বারান্দা

বাড়িভাড়া: 30,000 টাকা 
সার্ভিস চার্জ  5,000 টাকা

যোগাযোগঃ +8801718627591

লোকেশনঃ  বাসা ৮৮,  রোড -৭,  মনসুরাবাদ হাউজিং,  শামলী, আদাবর, ঢাকা । 

This apartment is made according to Rajuk new rules and high quality materials are used for sustaining natural disasters such as earthquake. 

বিঃদ্রঃ  লিফট আছে।",,Partial,,Yes,2,1 ,30000.0,Commercial,775,1600,Office,Rent,,,1600 sq feet apartment rent for office,3,Adabar, Dhaka, Dhaka.,Bangladesh
"বাসা ভাড়া হবে ইনশা-আল্লাহ। (To-let) ( family) 

*সম্পুর্ন  নতুন  এবং  সদ্য নিমিত*
(সম্পন্ন নিরিবিলি পরিবেশ)
১৬০০ স্কয়ার ফিট ( ৬ তম তালা) 
প্রতি ফ্লোর একটি করে ইউনিট
৩ বেড রুম
১ ড্রইং কাম ডাইনিং (সংযুক্ত)
১ কিচেন (সিলিন্ডার মিটার সিস্টেম ) (attached small balcony) 
৩ বাথ রুম
২ বারান্দা

বাড়িভাড়া: ২৪,০০০ টাকা 
সার্ভিস চার্জ  ৫,০০০ টাকা

যোগাযোগঃ +8801718627591

লোকেশনঃ  বাসা ৮৮,  রোড -৭,  মনসুরাবাদ হাউজিং,  শামলী, আদাবর, ঢাকা । 
https://www.youtube.com/watch?v=cOgKtdNLo2w

This apartment is made according to Rajuk new rules and high quality materials are used for sustaining natural disasters such as earthquake. 


বিঃদ্রঃ  লিফট আছে।",,Partial,,Yes,6,1 ,24000.0,Residential,773,1600,Brand New Apartment,Rent,,,1600 sq brand new apartment,3,Mohammadpur, Dhaka, Dhaka.,Bangladesh
"Welcome to an excellent opportunity for your warehousing needs in the bustling city of Gazipur! We present to you a 4000 square feet compliance shed available for rent in Pubail, Gazipur. The shed is ideal for companies looking for storage space or a warehouse facility. Its prime location offers excellent connectivity to major highways and roads, making transportation of goods easy and convenient. The area is known for its excellent infrastructure and well-developed transportation network, making it an ideal location for any business. The shed is equipped with all essential facilities such as a large loading/unloading bay, fire safety systems, and 24-hour security and surveillance systems.",,No,,,1,2 ,4000.0,Commercial,778,85000,Warehouse,Rent,,,"4000 sft warehouse for rent in Pubail, Gazipur",2,Pubail, Kaliganj, Gazipur,Bangladesh
"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven,  A/C.
. 
Facilities Available : 
> Grocery Shop, BBQ corner
> Swimming Pool,Theatre room
> Gym with 24/7 and Jogging track 
> Daily Room & Bathroom Cleaning 
> Multi-purpose Hall Room With Full AC 
> Steam Bath, Thermal massager
> Landscape With Sitting Arrangement
. 
Website: https://www.hotels.com.bd/two-room 
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk
. 
Contact For Booking: 
+88 01712553547 
+88 01921096842",Yes,Full Backup,,Yes,4,1 ,36000.0,Residential,779,375,Service Apartment,Rent,,,Two Room Furnished Serviced Apartment RENT in Bashundhara R/A,1,Bashundhara Residential Area, Dhaka, Bashundhara R/A,Bangladesh
"সাভার এনাম মেডিকেল কলেজ ও হাসপাতালের কাছে, 
বংশাই নদী (এখন সেখানে আগে থেকেই একটি সেতু ছিল) পাশাই ধানসিঁড়ি নিরিবিলি জমি প্রকল্প এখানে
আমার একটি নিজস্ব জমি রয়েছে। এই জমির দলিল সম্পূর্ণরূপে আমার নামের পক্ষে এবং এই জমির মিউটেশন সম্পূর্ণভাবে সম্পন্ন হয়েছে। আমার ব্যক্তিগত কিছু সংকটের কারণে আমাকে এই জমি বিক্রি করতে হচ্ছে। আমি উচ্চপদস্থ কর্মকর্তা হিসেবে Private গ্রুপ অব কোম্পানিতে কর্মরত। জমিটি সম্পূর্ণ বাউন্ডারি করা. এই জমির বিশদ বিবরণ নীচে দেওয়া হল:
নামঃ মুহাম্মদ মুজতবা আলী
জমির পরিমান-৫ Khata (৮.২৫ শতক)
মূল্য-12,50,000/-(negotiable) 
দাগ নং-911
খোতিয়ান নং-2021
মৌজা নং-ফোর্ড নগর ২য় খন্ড
J.L no-299
আরএস/বিএস নম্বর-৫০
থানা- ধামরাই
জেলা-ঢাকা
মোল্লাপাড়া 
জালাল মসজিদ
আমজাদ এর বাড়ী
ইউনিয়ন: কুল্লা
ওয়ার্ড :৯

ফোর্ড নগর ২য় খন্ড- থানা- ধামরাই
জেলা-ঢাকা
মোল্লাপাড়া 
জালাল মসজিদ
আমজাদ এর বাড়ী
ইউনিয়ন: কুল্লা
ওয়ার্ড :৯",,No,,,,1216 ,1250000.0,Land,742,5,Plot,Sale,,,ফোর্ড নগর ২য় খন্ড- থানা- ধামরাই জেলা-ঢাকা মোল্লাপাড়া  জালাল মসজিদ আমজাদ এর বাড়ী ইউনিয়ন: কুল্লা ওয়ার্ড :৯,,Savar, Dhaka,ফোর্ড নগর ২য় খন্ড- থানা- ধামরাই জেলা-ঢাকা মোল্লাপাড়া  জালাল মসজিদ আমজাদ এর বাড়ী ইউনিয়ন: কুল্লা ওয়ার্ড :৯,Bangladesh
"বসুন্ধরা আর/এ তে ২ বেডরুম (সুসজ্জিত ) সার্ভিসড অ্যাপার্টমেন্ট ভাড়া দেওয়া হবে। রান্নাঘর, টিভি, রেফ্রিজারেটর, ওয়াইফাই, মাইক্রোওয়েভ ওভেন, এ/সি সহ শর্ট-টার্ম রেন্টাল দেওয়া হয় ।
.
সুযোগ সুবিধা:
>টিভি, রেফ্রিজারেটর, এ/সি
>নিরাপত্তা এবং লন্ড্রি সার্ভিস
>প্রতিদিন রুম এবং বাথরুম পরিষ্কার
>ফিল্টার, ওয়াশিং মেশিন, এলপি গ্যাস
>ওয়াইফাই, মাইক্রোওয়েভ ওভেন, গিজার
.
২ বেডরুমের জন্য ক্লিক করুন:
>https://www.youtube.com/watch?v=yp440KIPCvc
>https://www.youtube.com/watch?v=xB_m6tVSiok
.
বুকিং এর জন্য যোগাযোগ করুনঃ
০১৭১২-৫৫৩৫৪৭
০১৯২১০৯৬৮৪৬",Yes,Full Backup,,Yes,6,1 ,48000.0,Residential,806,800,Apartment,Rent,,,বসুন্ধরা আর/এ তে সুসজ্জিত ফ্ল্যাট  ভাড়া দেওয়া হবে,2,Bashundhara Residential Area, Dhaka, বসুন্ধরা আর /এ,Bangladesh
"রামপুরা বনশ্রী C ব্লক এর পাশে পূর্ব রামপুরা মোল্লাবাড়ি গ্যাস, পানি, বিদ্যুৎসহ ২৩টি সেমিপাকা রুমসহ ৬.২৫ কাঠা জমি জরুরি ভিত্তিতে বিক্রি  করা হবে। বনশ্রী আইডিয়াল স্কুল থেকে ১০ মিনিট ওয়াকিং ডিসট্যান্স। মূল্য ২ কোটি ২০ লক্ষ (ফিক্সড)। ১২ ফিট পাকা রোড। 
বি:দ্র: কেউ যদি ৩.১২ কাঠা মানে মুল জমির অর্ধেক কিনতে চায় তাহলেও যোগাযোগ করার অনুরোধ করা হইল।",,No,,,,,22000000.0,Land,729,6,Plot,Sale,,,জরুরী ভিত্তিতে  রামপুরাতে ৬.২৫ কাঠা জমি বিক্রি হবে।,20,Rampura, Dhaka,রামপুরা,Bangladesh
"The 127 katha land for sale is situated on the main Dhaka-Demra highway, offering easy access and excellent connectivity to all parts of the city. The area is well-connected with other major highways and roads, making it easy for transportation of goods and materials. The location is also known for its peaceful surroundings, which makes it ideal for a hospital or any other institution;  Additionally, it is an ideal location for a shopping mall, as it is easily accessible by public transport and located in a densely populated area. The land is also suitable for setting up a factory or warehouse. Its strategic location makes it easy to transport goods to other parts of the city. Please contact genuine buyer only",,No,,,1,,600000000.0,Commercial,774,127,Commercial Plot,Sale,,,127 Katha commercial plot for sale in a prime location on the Dhaka-Demra highway!,,Demra, Dhaka,Dhaka-Demra Highway,Bangladesh
"2400 sft apartment rent for office at Banani with 3 room, 3 bathroom, kitchen, open floor area, 1 car parking, 24 ours generator & lift facilities,  back-up generator etc. Inside apartment also very bright & airy, please contact only for foreigners office.",,Partial,,,3,1 ,130000.0,Residential,120,2400,Apartment Office,Rent,,,2400 sqft apartment available for office rent at Banani,3,Banani, Dhaka,Banani,Bangladesh
"115000 sqft  7 Storied garments factory building available for rent at Kona Bari, Gazipur. This building is  ACCORD approved and 100% compliance's, Gas facilities also available. Every floor 14,000 sqft  open space with enough toilet for  worker & staff.",Yes,Full Backup,,Yes,7,10,1800000.0,Commercial,124,115000,Factory Building,Rent,,,"115000 sqft garments factory building available for rent at Kona Bari, Gazipur",10,Kona Bari, Gazipur, Gazipur,Bangladesh
"2400 sft luxurious brand new furnished apartment rent at Banani North with 3 bedroom, 3 bathroom, build-in wooden cabinet in the all bedrooms & kitchen area, 2 car parking, 24 ours generator & lift facilities, rooftop swimming pool, 100% back-up generator etc.
 Secure location, lake view, calm & quiet area, fully air-conditioned, ceiling fan & light. Inside apartment also very bright & airy, please contact only for foreigners residence.",Yes,Partial,,Yes,9,2 ,125000.0,Residential,122,2400,Apartment,Rent,Yes,,2400 sqft Brand New Luxurious Full Furnished Apartment Rent At Banani,3,Banani, Dhaka,Banani North,Bangladesh
"1500 sft apartment rent for office at Banani with 3 room, 3 bathroom, kitchen, open floor area, 1 car parking, 24 ours generator & lift facilities, back-up generator etc. Inside apartment also very bright & airy, please contact only for foreigners office.",,Partial,,Yes,6,1 ,55000.0,Residential,121,1500,Apartment Office,Rent,,,1500 Sqft Office Space Available For Rent at Gulshan,3,Gulshan, Dhaka,Gulshan,Bangladesh
"Looking for tenant to rent factory space (garments is preferred) located at Mirpur 7 Industrial Area, Dhaka.

Total Factory Space: 15825 Square Feet (5 storied building)

Building structure is approved by ACCORD (green status).

Have emergency stairs, water, electricity and other facilities.

Rent: BDT 20 per Sqf

Available from 1st January, 2020.

Advance amount will be determined upon discussion.",Yes,,,,6,,316500.0,Commercial,126,15825,Factory Building,Rent,,,15825 Sqf Factory Space for Rent at Mirpur 7 Industrial Area,,Mirpur, Dhaka, DHAKA-1216,Bangladesh
"The property, located at Gulshan two, is a standalone building, constructed of brick, with 6 floors and 15,000 square feet in size. The interior floors are mouzaik, and walls are constructed of brick. There are 15 bedrooms and three bathrooms, Every floor 3000 sqft with 3bedroom, 3bathroom, drawing , dining and kitchen area. Total 10 car parking, lift, generator etc.
Please call only for foreign, NGO or corporate  office.",,Partial,,Yes,6,10,900000.0,Residential,127,15000,Building,Rent,Yes,,15000 sft 6 story independent house rent for office at Gulshan 2,12,Gulshan, Dhaka,Gulshan,Bangladesh
"2300 sqft full furnished apartment with 3 bedroom, 3 bathroom, drawing, dining, modern kitchen with cupboard, all bedroom has builtin cabinet, nit & clean, European standard fitting & fixtures, daily cleaning facilities are available.  

This apartment will be rent  for daily, weekly and monthly basis.

For Daily Rent : $120.00 
For Weekly and Monthly rental will be lower on discussion.
Please contact only for foreigners short or long time stay.",Yes,Full Backup,,Yes,1,1 ,120.0,Residential,129,2300,Apartment,Rent,Yes,,"Service Apartment Available For Rent Daily, Weekly And Monthly Basis In Gulshan",3,Gulshan, Dhaka,Gulshan,Bangladesh
"26 00 Sqft Fully Furnished Luxurious Apartment  with 4 bed, 3 bath, Drawing, Dining, Kitchen, Servant room, fully air conditioner,  modern beds, dining table with 6 chairs, fridge, gas oven 4 burner, sofa set, washing machine, cupboard etc. All furniture is European Standard.
Please contact for foreigners residence only.",Yes,Partial,,Yes,2,2 ,130000.0,Residential,130,2600,Apartment,Rent,Yes,,"4 Bedroom Full Furnished Apartment Rent In Banani, Dhaka",4,Banani, Dhaka,Banani North,Bangladesh
"The property, located at Gulshan two, is a standalone building, constructed of brick, with 6 floors and 15,000 square feet in size. The interior floors are mouzaik, and walls are constructed of brick. There are 15 bedrooms and three bathrooms, Every floor 3000 sqft with 3bedroom, 3bathroom, drawing , dining and kitchen area. Total 10 car parking, lift, generator etc. Please call only for foreign, NGO or corporate office.",Yes,Partial,,Yes,6,10,1000000.0,Residential,132,15000,Building,Rent,,,15000 sft 6 story independent house rent for office at Gulshan,18,Gulshan, Dhaka,Gulshan,Bangladesh
"50000 Sqft fully ready and non-bonded commercial ware house located in Tongi, Gazipura. Fully secured and protected with professional security guard, CC Camera and others equipment etc. loading - unloading facilities, Please call only for foreign or multinational, corporate organization for warehouse or factory.",Yes,Partial,,,1,5 ,750000.0,Commercial,131,50000,Factory Shade,Rent,,,"50000 sft Warehouse Available For Rent At Bhabanipur, Gazipur",5,Gazipur, Dhaka, Gazipur,Bangladesh
"Fully Furnished Apartment with 3 bed, 3 bath, Drawing, Dining, Kitchen, Servant room, fully air conditioner, beds, dining table with 6 chairs, fridge, gas oven 4 burner, sofa set, washing machine, cupboard etc.",Yes,Partial,,Yes,2,1 ,65000.0,Residential,134,1600,Apartment,Rent,,,1600 sqft Furnished Apartment Rent At Gulshan 2,3,Gulshan, Dhaka,Gulshan,Bangladesh
"The land is situated in Pubail, which is an industrial hub of Gazipur, and offers excellent connectivity to major highways and roads, making transportation of goods and materials easy and convenient. This area is well-known for its excellent infrastructure and well-developed transportation network, making it an ideal location for any industrial enterprise. The  13 bigha (approximately 4.5 acres) of land is perfect for setting up a manufacturing facility, factory, or warehouse. It's location is ideal for a wide range of businesses, with ample opportunities for growth and expansion. Don't miss this chance to invest in a promising area with limitless potential!",,No,,,1,,365000000.0,Land,780,13,Factory Land,Sale,,,"13 Bigha Factory Land for Sale in Pubail, Kaligonj - Your Gateway to Growth!""",,Pubail, Kaliganj, Kaliganj,Bangladesh
"3000 sft luxurious apartment rent at Gulshan with 4 bedroom, 4 bathroom, build-in cabinet in the all bedrooms & kitchen area, 1 car parking, 24 ours generator & lift facilities.  back-up generator etc.",Yes,Partial,,Yes,3,1 ,125000.0,Residential,135,3000,Apartment,Rent,,,3000 Sqft Apartment Rent In Gulshan 2,4,Gulshan, Dhaka,Gulshan,Bangladesh
"3000 sft Commercial Office Open Space At Gulshan Avenue
Fully Commercial Building according to RAJUK new rules at Gulshan Avenue, 3000 sft open office space at 8th floor with 3 executive toilet, pantry, nice views, floor finished by mirror polish tiles, bright, 2lifts, emergency stair case, modern fire fitting system, car lift facilities etc.
Parking 01 Slot
Generator 100% Power backup",Yes,Full Backup,,Yes,9,1 ,450000.0,Commercial,115,3000,Office,Rent,Yes,,3000 sqft Commercial Space Available For Rennt In Gulshan Avenue,,Gulshan, Dhaka,Gulshan Avenue,Bangladesh
"30000 Sqft fully ready and non-bonded commercial ware house located in Tongi, Gazipura. Fully secured and protected with professional security guard, CC Camera and others equipment etc. loading - unloading facilities,  Please call only for foreign or multinational, corporate organization for warehouse or factory.",Yes,No,,,1,5 ,650000.0,Commercial,116,30000,Warehouse,Rent,,,"30000 sqft warehouse available for rent at Tongi, Gazipur",4,Tongi, Dhaka, Gazipur,Bangladesh
"30000 Sqft fully ready and  commercial factory shade /ware house located in Tongi, Gazipura. Fully secured and protected with professional security guard, CC Camera and others equipment etc. loading - unloading facilities, Please call only for foreign or multinational, corporate organization for warehouse or factory.",Yes,Partial,,,1,4 ,750000.0,Commercial,117,30000,Factory Shade,Rent,,,"30000 sqft factory shade available for rent at Tongi, Gazipur",5,Tongi, Dhaka, Gazipur,Bangladesh
"12,000 sft Commercial Office Open Space At Tejgoan, open office space at Ground floor with 3 executive toilet, pantry, in fornt of the office nice garden , floor finished by wooden tiles, bright, modern fire fitting system, Parking 3/4 Slot etc.",,No,,,1,5 ,960000.0,Commercial,118,12000,Office,Rent,Yes,,"12000 sqft commercial space avaiable for rent at Tejgoan, Dhaka",5,Tejgaon, Dhaka,Tejgoan,Bangladesh
"5000 sft  apartment rent for office at Banani with 4 room, 4 bathroom, kitchen, open floor area, 2 car parking, 24 ours generator & lift facilities, rooftop swimming pool, back-up generator etc.
 
 Inside apartment also very bright & airy, please contact only for foreigners office.",Yes,Partial,,Yes,4,2 ,320000.0,Residential,119,5000,Apartment Office,Rent,Yes,,5000 sqft Office Space Banani,6,Banani, Dhaka,Banani,Bangladesh
"2200 sft apartment rent for office at Banani 3 bedroom, 3 bathroom, kitchen, drawing, dining area, 1 car parking,  generator & lift facilities  back-up generator etc.",,Partial,,Yes,1,1 ,85000.0,Residential,106,2200,Apartment,Rent,,,2200 Sqft Apartment Rent For Office,1,Banani, Dhaka,Banani,Bangladesh
"Fully Furnished Apartment rent  at Uttara with 3 bed, 3 bath, Drawing, Dining, Kitchen, Servant room, fully air conditioner, beds, dining table with 6 chairs, fridge,  2 burner gas cooker, sofa set, washing machine, cupboard etc.

Please call only for foreigner's residence.",,Partial,,Yes,2,1 ,65000.0,Residential,109,1750,Apartment,Rent,,,Full Furnished Apartment Rent AT Uttara,3,Uttara, Dhaka, Sector # 9,Bangladesh
"2500 sft luxurious semi furnished apartment rent at Gulshan North  with  calm & quiet area, fully air-conditioned & generator support, 3 bedroom, 3 bathroom, build-in cabinet in the all bedrooms & kitchen area, 2 car parking, 24 ours generator & lift facilities  etc.

Please call only for foreigner’s residence.",Yes,Partial,,Yes,1,2 ,100000.0,Residential,107,2500,Apartment,Rent,Yes,,2500 Sqft  Apartment Rent In Gulshan North,3,Gulshan, Dhaka,Gulshan North,Bangladesh
"2800 sft luxurious full furnished apartment rent at Baridhara  with nice lake view, calm & quiet area, fully air-conditioned & generator support, lake side balcony, 3 bedroom, 3 bathroom, build-in cabinet in the all bedrooms & kitchen area, 2 car parking, 24 ours generator & lift facilities. partial back-up generator etc.

Please call only for foreigner’s residence.",,Partial,,Yes,1,2 ,170000.0,Residential,110,2800,Apartment,Rent,,,2800 sqft fully furnished apartment rent in Baridhara,3,Baridhara, Dhaka,Baridhara,Bangladesh
"31000 Sqft fully ready and non-bonded commercial ware house located in Kalurghat, Chittagong. Fully secured and protected with professional security guard, CC Camera and others equipment etc.  loading - unloading facilities, fork lift facilities .

Please call only for foreign or multinational organization.",Yes,Full Backup,,,1,3 ,1250000.0,Commercial,112,31000,Warehouse,Rent,,,"31000 Sqft Ware House Available For Rent  In Kalurghat, Chittagong.",4,Kalurghat, Chittagong, Chittagong.,Bangladesh
"3700 sft luxurious semi furnished apartment rent at Baridhara with calm & quiet area, fully air-conditioned & generator support, lake side balcony, 4 bedroom, 4 bathroom, build-in cabinet in the all bedrooms & kitchen area, 2 car parking, 24 ours generator & lift facilities. 100% back-up generator etc.

Please call only for foreigner’s residence.",Yes,Full Backup,,Yes,5,2 ,250000.0,Residential,111,3700,Apartment,Rent,Yes,,Semi Furnished Luxurious Apartment Rent In Baridhara,4,Baridhara, Dhaka,Baridhara,Bangladesh
"23,000 square feet  open space ,1st floor, suitable for show-room, bank, insurance etc.
Free space available in ground floor for your  own generator setup 
24 hours CCTV surveillance coverage 
 With full Decoration",,No,,Yes,1,1 ,150000.0,Commercial,113,2300,Show-room,Rent,,,"2300 Sqft 1st Floor Commercial Space for Showroom available in Uttara, Dhaka",2,Uttara, Dhaka, Dhaka.,Bangladesh
"6000 sft office space of 2 floors in 6 Storied Building With Open Space Available For Rent  At Niketon, Gulshan -1. Every floor 3000 sft with fully open space with 4 bathroom, , pantry, nice views, floor finished by mirror polish tiles, bright, lift, generator etc.  We are looking tenant like NGO, foreign garments buying office, donor agency, local corporate office etc.",Yes,Partial,,Yes,4,3 ,300000.0,Residential,89,6000,Apartment Office,Rent,Yes,,"6000 Sqft Office Space Available For Rent In Niketon , Gulshan One",3,Niketan, Dhaka, Gulshan 1,Bangladesh
"1800 Sqft Fully Furnished Luxurious Apartment  with 3 bed, 3 bath, Drawing, Dining, Kitchen, Servant room, fully air conditioner,  modern beds, dining table with 6 chairs, fridge, gas oven 4 burner, sofa set, washing machine, cupboard etc. All furniture is European Standard.
Please contact for foreigners residence only.",Yes,Partial,,Yes,3,1 ,100000.0,Residential,87,1800,Apartment,Rent,Yes,,"1800 Sqft Fully Furnished Luxurious Apartment Rent At Bashundhara, Dhaka",3,Bashundhara Residential Area, Dhaka,Bashundhara,Bangladesh
"The property, located at Gulshan North, is a standalone building, constructed of brick, with 2.5 floors and 9,000 square feet in size. The interior floors are tile, and walls are constructed of brick. There are five closed bedrooms and five bathrooms, plus 2 office spaces located on the ground and first floors. The second floor includes a large open room, with an attached rooftop terrace. The perimeter is secured by a high surrounding brick wall. The property is surrounded by a garden. There is also a concrete pad and shelter to accommodate a large backup generator, located in the back garden. Adjacent to the main structure is a smaller standalone building, constructed of brick and consisting of two floors.",,No,,,3,6 ,750000.0,Residential,94,9000,Duplex House,Rent,,,9000 Sqft 3 Storied Independent House Rent In Gulshan North,5,Gulshan, Dhaka,Gulshan North,Bangladesh
"2000 sft luxurious semi furnished apartment rent at Gulshan with nice lake view, fully air-conditioned & generator support, lake side balcony, 3 bedroom, 3 bathroom, build-in cabinet in the all bedrooms & kitchen area, 1 car parking, 24 ours generator & lift facilities. 100% back-up generator etc.",Yes,Full Backup,Yes,Yes,7,1 ,100000.0,Residential,96,2000,Apartment,Rent,Yes,,2000 Sqft Fully Furnished Apartment Rent In Gulshan Two,3,Gulshan, Dhaka,Gulshan,Bangladesh
"Fully Commercial Building according to RAJUK new rules at Gulshan South Avenue, 7470 sft open office space at 7th floor with 3 executive toilet, pantry, nice views, floor finished by mirror polish tiles, bright, 3lifts, emergency stair case, modern fire fitting system, 3 car parking facilities etc.",Yes,Full Backup,Yes,Yes,7,3 ,1270000.0,Commercial,98,7470,Open Floor,Rent,Yes,,7470 Sqft Commercial Space Available For Rent In Gulshan South Avenue,,Gulshan One, Dhaka,Gulshan South Avenue,Bangladesh
"3000 sft luxurious  furnished apartment rent at Gulshan with  calm & quiet area, fully air-conditioned & generator support,  balcony, 4 bedroom, 4 bathroom, build-in cabinet in the all bedrooms & kitchen area, 2 car parking, 24 ours generator & lift facilities. 100% back-up generator etc.",Yes,Full Backup,Yes,Yes,5,1 ,150000.0,Residential,95,3000,Apartment,Rent,Yes,,3000 Sqft Furnished Apartment Rent In Gulshan 2,4,Gulshan, Dhaka,Gulshan 2,Bangladesh
"30,825 Sqft Commercial Warehouse Shade Space Available For Rent In Tejgoan, Dhaka. Total land area 42 Katha. Open area with full area covered protected by bricks wall with toilet & parking, water, 11 KVA power facilities etc.
Please call only foreign or multi-national company.",Yes,No,,,1,10,2620125.0,Commercial,91,30825,Factory Shade,Rent,,,"30,825 Sqft Commercial Warehouse Shade  Space Available For Rent In Tejgoan, Dhaka",2,Tejgaon, Dhaka,Tejgoan,Bangladesh
"5400 sft Commercial Office Open Space At Kemal Attaturk  Avenue, Banani
Fully Commercial Building according to RAJUK new rules at Kemal  Avenue, 5400 sft open office space at 8th floor with 3 executive toilet, pantry, nice views, floor finished by mirror polish tiles, bright, 3 lifts, emergency stair case, modern fire fitting system, 3 car lift facilities etc.
 
Generator 100% Power backup",Yes,Full Backup,,Yes,7,3 ,850000.0,Commercial,102,5399,Open Floor,Rent,Yes,,5400 Sqft Commercial Office Space Available For Rent In Banani,3,Kemal Ataturk Avenue, Dhaka, Banani,Bangladesh
"5,500 sft luxurious semi furnished apartment rent at Gulshan Two with 5 bedroom, 5 bathroom, build-in wooden cabinet in the all bedrooms & kitchen area, 3 car parking, 24 ours generator & lift facilities, rooftop garden, GYM, 100% back-up generator etc.
 Secure location,  calm & quiet area, fully air-conditioned, ceiling fan & light. Inside apartment also very bright & airy, please contact only for foreigners residence.",Yes,Full Backup,Yes,Yes,7,3 ,550000.0,Residential,100,5500,Apartment,Rent,Yes,,5500 Sqft Luxurious Semi-Furnished Apartment Rent In Gulshan Two,5,Gulshan, Dhaka,Gulshan Two,Bangladesh
