address,amenities,available_from,balconies,bathroom,bedroom,construction_status,deposit,description,facilities_nearby,facing,floor_number,furnishing,garages,handover_date,land_area,location,monthly_rent,price_per_sqft_or_katha_or_dcml,property_for,property_name,property_size,property_type,property_url,title,total_floor,total_price,transaction_type
"JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,1,2,2, ready ,,"
                        Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.hotels.com.bd/.../2-bedroom-furnished.../
YouTube: https://www.youtube.com/watch?v=qVIoVfPGFmA
.
Contact For Booking:
+88 01712553547
+88 01921096842
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV",South Facing,6,Furnished,1 Park,"01 January, 2023",0,"Bashundhara RA, Dhaka",,Call For Price,Sale,Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A.,800 sqft,Flat / Apartment,https://www.propertysalebd.com/listings/fully-furnished-two-bedroom-serviced-apartment-rent-in-bashundhara-ra-9,800 sqft Flat / Apartment for Sale at Bashundhara RA,7,Call For Price,new
"JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,1,2,2, ready ,,"
                        Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.hotels.com.bd/.../2-bedroom-furnished.../
YouTube:https://www.youtube.com/watch?v=yp440KIPCvc
.
Contact For Booking:
+88 01712553547
+88 01921096842
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Hospital,School",South Facing,2,Furnished,1 Park,"01 February, 2023",800,"Bashundhara RA, Dhaka",,Call For Price,Sale,Furnished Two BHK Serviced Apartment RENT.,800 sqft,Studio Apartment,https://www.propertysalebd.com/listings/furnished-two-bhk-serviced-apartment-rent-3,800 sqft Studio Apartment for Sale at Bashundhara RA,6,Call For Price,new
171/1 Middle Paikpara,"Lift,Self Water Connection,Gas Connection,Electronic Security,Servent Room",,2,3,3, ready ,,"
                        Building Designed by Former Chief Architect of PWD Architect Dr. Ali Imam
1 passenger Lift available,
Building 100% Safe and Constructed following BNBC rules,
Entrance from Mirpur Section 1, Kalyanpur Bus Stand, Shawrapara, Kazipara, Monipur, Section 2, Bangla College,
                    ","Wasa Connection,Electricity,Cable TV,Hospital,Bank,ATM,School,Bus Station,Shopping Mall",South Facing,6,Unfurnished,1 Park,"01 February, 2023",3060,"Mirpur, Dhaka",,"6,500.00 tk (Negotiable)",Sale,MBL Islam Lodge,"1,147 sqft",Flat / Apartment,https://www.propertysalebd.com/listings/mbl-islam-lodge,"1,147 sqft Flat / Apartment for Sale at Mirpur",1,0.00 tk (Negotiable),old
"Pallabi, Mirpur 12, Main Road","Lift,Fire exit,CCTV",,,1,, ready ,,"
                        5,400 sqft commercial space for sale located on Main Road, Pallabi Mirpur 14. Suitable for Banks, Beema, showrooms, Corporate offices, Chinese restaurants, education centers, clinics, diagnostic centers, community centers, supermarkets, medical centers, and textile fashion houses. 

Per square feet 12000tk.
                    ","Security,Electricity,Bus Station",South Facing,2,Unfurnished,5+ Park,"01 February, 2023",,"Mirpur, Dhaka",,Call For Price,Sale,5400 sqft Commercial Space for Sale,"5,400 sqft",Office Space,https://www.propertysalebd.com/listings/5400-sqft-commercial-space-for-sale,"5,400 sqft Office Space for Sale at Mirpur",5,Call For Price,new
"JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,1,1,2, ready ,,"
                        Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven,  A/C.
. 
Facilities Available : 
> Grocery Shop, BBQ corner
> Swimming Pool,Theatre room
> Gym with 24/7 and Jogging track 
> Daily Room & Bathroom Cleaning 
> Multi-purpose Hall Room With Full AC 
> Steam Bath, Thermal massager
> Landscape With Sitting Arrangement
. 
Website: https://www.hotels.com.bd/two-room 
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk
. 
Contact For Booking: 
+88 01712553547 
+88 01921096842
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Guest Parking",South Facing,6,Furnished,1 Park,"01 December, 2022",375,"Bashundhara RA, Dhaka",,Call For Price,Sale,Two Room Furnished Serviced Apartment RENT in Bashundhara R/A.,375 sqft,Flat / Apartment,https://www.propertysalebd.com/listings/two-room-furnished-serviced-apartment-rent-in-bashundhara-ra-1,375 sqft Flat / Apartment for Sale at Bashundhara RA,10,Call For Price,new
"Pallabi, Mirpur 14","Lift,Fire exit,CCTV",,,5+,, ready ,,"
                        5,400 sqft commercial space for sale located on Main Road, Pallabi Mirpur 14. Suitable for Banks, Beema, showrooms, Corporate offices, Chinese restaurants, education centers, clinics, diagnostic centers, community centers, supermarkets, medical centers, and textile fashion houses. 

Per square feet 15000tk.
                    ","Guest Parking,Hospital,Bank,School,Bus Station",South Facing,3,Unfurnished,5+ Park,"01 February, 2023",,"Mirpur, Dhaka",,Call For Price,Sale,5400 sqft Commercial Space for Sale,"5,400 sqft",Shop / Showroom,https://www.propertysalebd.com/listings/5400-sqft-commercial-space-for-sale-1,"5,400 sqft Shop / Showroom for Sale at Mirpur",6,Call For Price,new
"JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,1,1,2, ready ,,"
                        Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven,  A/C.
. 
Facilities Available : 
> Grocery Shop, BBQ corner
> Swimming Pool,Theatre room
> Gym with 24/7 and Jogging track 
> Daily Room & Bathroom Cleaning 
> Multi-purpose Hall Room With Full AC 
> Steam Bath, Thermal massager
> Landscape With Sitting Arrangement
. 
Website: https://www.hotels.com.bd/two-room 
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk
. 
Contact For Booking: 
+88 01712553547 
+88 01921096842
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Wifi Connectivity,Cable TV",South Facing,6,Furnished,1 Park,"01 January, 2023",,"Bashundhara RA, Dhaka",,Call For Price,Sale,Two Room Furnished Serviced Apartment RENT in Bashundhara R/A,375 sqft,Flat / Apartment,https://www.propertysalebd.com/listings/two-room-furnished-serviced-apartment-rent-in-bashundhara-ra-2,375 sqft Flat / Apartment for Sale at Bashundhara RA,10,Call For Price,new
"JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,1,2,2, ready ,,"
                        Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.hotels.com.bd/.../2-bedroom-furnished.../
YouTube:https://www.youtube.com/watch?v=yp440KIPCvc
.
Contact For Booking:
+88 01712553547
+88 01921096842
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV",South Facing,6,Furnished,1 Park,"01 December, 2022",800,"Bashundhara RA, Dhaka",,Call For Price,Sale,Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A.,800 sqft,Studio Apartment,https://www.propertysalebd.com/listings/fully-furnished-two-bedroom-serviced-apartment-rent-in-bashundhara-ra-18,800 sqft Studio Apartment for Sale at Bashundhara RA,7,Call For Price,new
"জেসিএক্স টাওয়ার, ১১৩৬/এ, ব্লক- আই, লেভেল ৫ জাপান স্ট্রিট, বসুন্ধরা আর /এ","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security",,1,1 Bath,1,,"36,000.00 tk","
                        বসুন্ধরা আর/এ তে ২ বেডরুম (সুসজ্জিত ) সার্ভিসড অ্যাপার্টমেন্ট ভাড়া দেওয়া হবে। রান্নাঘর, টিভি, রেফ্রিজারেটর, ওয়াইফাই, মাইক্রোওয়েভ ওভেন, এ/সি সহ শর্ট-টার্ম রেন্টাল দেওয়া হয় ।
.
সুযোগ সুবিধা:
>ওয়াইফাই, টিভি
>সুইমিংপুল, এসি, জিম
>থিয়েটার & সিকিউরিটি
>লন্ড্রি & ডেইলি ক্লিনিং সার্ভিস
>গ্রোসারি শপ &কেবিনেট কিচেন
>রেফ্রিজারেটর & মাইক্রোওয়েভ
.
২ রুম ফ্ল্যাটের জন্য ক্লিক করুন:
>https://www.hotels.com.bd/two-room
>https://www.youtube.com/watch?v=b_dWFqx8jKk

.
বুকিং এর জন্য যোগাযোগ করুনঃ
০১৭১২-৫৫৩৫৪৭
০১৯২১০৯৬৮৪৬
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Hospital,Bank,ATM,School,Bus Station,Shopping Mall",South Facing,,Furnished,1,"January 01, 2020",,"Bashundhara RA, Dhaka","36,000.00 tk",,Rent,বসুন্ধরা আর/এ তে ২ রুম শর্ট-টার্ম ভ্যাকেশন রেন্টাল ফ্ল্যাট ভাড়া দেওয়া হবে,375 sqft,Studio Apartment,https://www.propertysalebd.com/listings/-23,375 sqft Studio Apartment for Rent at Bashundhara RA,1,,new
"JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Lift,Fire exit,Self Water Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,1,2 Bath,2,,"48,000.00 tk","
                        Furnished 2BHK Serviced Apartment RENT In Bashundhara
Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
YouTube
1. https://www.hotels.com.bd/rental/apartment-two-bedroom
2. https://www.youtube.com/watch?v=xB_m6tVSiok
.
Contact For Booking:
+88 01712553547
+88 01921096846
2
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Hospital,Bank,ATM,School,Bus Station,Shopping Mall",South Facing,2,Furnished,1,"April 16, 2023",,"Bashundhara RA, Dhaka","48,000.00 tk",,Rent,Apartment,800 sqft,Apartment / Flat,https://www.propertysalebd.com/listings/apartment-7,800 sqft Apartment / Flat for Rent at Bashundhara RA,10,,new
"Pallabi post office goli, near DESCO office","Lift,Fire exit,Generator,Telephone line",,2,3,3, under-construction ,,"
                        Building: G+8
floor : 3rd (south- corner side)
3 bed
3 bath
drawing
dining 
kitchen
2 balcony
2 lift
generator
1 parking
land deed available.
customize option available
plaster done for both inside and outside wall. 
building status 90% done.
                    ","Security,Hot water and heating,Electricity,Inter com,Cable TV,Bus Station,Shopping Mall",South Facing,3,Unfurnished,1 Park,"31 December, 2022",,"Mirpur, Dhaka",,0.00 tk,Sale,Flat sale at Pallabi post office 1400 SQFT,"1,400 sqft",Flat / Apartment,https://www.propertysalebd.com/listings/flat-sale-at-pallabi-post-office-1400-sqft,"1,400 sqft Flat / Apartment for Sale at Mirpur",8,"8,500,000.00 tk",new
"Bowbazar, Aftabnagar","Lift,CCTV,Servent Room",,4,3,3, ready ,,"
                        This building is made on a total area of 5 Katha land. This Building is made up of the strongest foundation base that can prevent any accidental phenomenon.  And the building has a huge terrace to arrange any kind of party and function.
                    ","Security,Electricity",East Facing,7,Unfurnished,N\A,"30 November, 2022",3600,"Badda, Dhaka",,Call For Price,Sale,Green Palace,"1,500 sqft",Flat / Apartment,https://www.propertysalebd.com/listings/green-palace,"1,500 sqft Flat / Apartment for Sale at Badda",10,Call For Price,new
Sattar Monjil College Road,"Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,2,3,3, ready ,,"
                        Large flat available for immediate sell . 
The flat currently has rental income of 22000taka per month
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Guest Parking,Bank,ATM,School,Bus Station,Shopping Mall",South Facing,4,Unfurnished,N\A,"27 October, 2022",1491,"Narayanganj Sadar, Narayanganj",,Call For Price,Sale,Ready flat for sale in College Road Narayanganj,"1,491 sqft",Flat / Apartment,https://www.propertysalebd.com/listings/ready-flat-for-sale-in-college-road-narayanganj,"1,491 sqft Flat / Apartment for Sale at Narayanganj Sadar",1,Call For Price,new
