Property_name,Property_Type,Bedrooms,bathrooms,Garages,Sq_Ft,year_built,AD URL,features
Apartment In Baridhara,Apartment,4,4,1,3085,2018,https://bestbari.com/flat-sale-dhaka/apartment-in-baridhara/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Children Play Area,Cloth Drying Area,Fire Protection,Guard Post,Reception,Lobby Lounge"
Luxurious Apartment,Apartment,4,4,1,3400,2018,https://bestbari.com/flat-sale-dhaka/luxurious-apartment/,"Garage,Interior Designed Lobbies,International Standard Lift,Generator Backup,Security Room,Children Play Area,Cloth Drying Area,Fire Protection,Guard Post,Reception,Lobby Lounge"
Apartment At Gulshan,Apartment,4,4,2,3400,2017,https://bestbari.com/flat-sale-dhaka/apartment-at-gulshan/,"Garage,Common Area,International Standard Lift,Generator Backup,Security Room,Reception,Lobby Lounge"
Luxurious Apartment,Apartment,4,4,2,4000,,https://bestbari.com/flat-sale-dhaka/luxurious-apartment-2/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Common Area,Double Glazed Glass Window,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Exercise Studio,Gym,Security Room,Children Play Area,Fire Protection,Reception,Smart Home Feature,Lobby Lounge"
Apartment in Banani,Apartment,4,3,1,2300,2018,https://bestbari.com/flat-sale-dhaka/apartment-in-banani/,"Full Load Power Backup,Parking,International Standard Lift,Generator Backup,Fire Protection,Reception,Lobby Lounge"
Luxurious Lake View Apartment,Apartment,4,4,2,3450,2019,https://bestbari.com/flat-sale-dhaka/luxurious-lake-view-apartment/,"Air Conditioning,Garden,Interior Designed Lobbies,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Multipurpose Room for Prayer and Meeting,Gym,Security Room,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Reception,Lobby Lounge"
Apartment In Bashundhara,Apartment,3,3,1,1400,2019,https://bestbari.com/flat-sale-dhaka/apartment-in-bashundhara/,"Parking,International Standard Lift,Generator Backup,Security Room,Children Play Area,Cloth Drying Area,Fire Protection,Reception"
Apartment @ Gulshan-2,Apartment,3,3,1,2665,2005,https://bestbari.com/flat-sale-dhaka/apartment-gulshan-2/,"Parking,International Standard Lift,Generator Backup,Children Play Area,Cloth Drying Area,Guard Post"
Apartment @ Poribag,Apartment,3,3,1,2200,1995,https://bestbari.com/flat-sale-dhaka/apartment-poribag/,"Garage,International Standard Lift,Generator Backup,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Guard Post"
Apartment @ Baridhara,Apartment,4,4,2,3685,2020,https://bestbari.com/flat-sale-dhaka/apartment-baridhara/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Stretcher Lift,Generator Backup,Rooftop Landscaping,Multipurpose Room for Prayer and Meeting,Gym,Children Play Area,Fire Protection,Fitness Center,Guard Post,Reception,Lobby Lounge"
Apartment @ Gulshan,Apartment,4,3,2,2950,2021,https://bestbari.com/flat-sale-dhaka/apartment-gulshan/,"Parking,International Standard Lift,Generator Backup,Rooftop Landscaping,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Reception,Lobby Lounge"
Apartment @ Mohammadpur.,Apartment,4,4,2,4100,2021,https://bestbari.com/flat-sale-dhaka/apartment-mohammadpur/,"Garage,Common Area,International Standard Lift,Generator Backup,Fire Protection,Guard Post,Reception"
Apartment @ Gulshan,Apartment,4,3,1,2818,2018,https://bestbari.com/flat-sale-dhaka/apartment-gulshan-3/,"Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Generator Backup,Gym,Children Play Area,Cloth Drying Area,Guard Post,Reception,Lobby Lounge"
Apartment @ Badda,Apartment,3,2,,1050,2021,https://bestbari.com/flat-sale-dhaka/apartment-badda/,"Common Area,International Standard Lift,Generator Backup,Reception"
Apartment @ Sobujbag,Apartment,3,3,1,1400,2021,https://bestbari.com/flat-sale-dhaka/apartment-sobujbag/,"Full Load Power Backup,Common Area,Parking,International Standard Lift,Generator Backup,Children Play Area,Cloth Drying Area,Fire Protection,Guard Post,Reception"
Apartment In Gulshan,Used Flat,3,3,1,2150,2020,https://bestbari.com/flat-sale-dhaka/apartment-in-gulshan/,"Garage,Corner Plot,Full Load Power Backup,Common Area,Parking,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Stretcher Lift,Generator Backup,Gym,Community Space,Fire Protection,Reception,Lobby Lounge"
Flat @ Shaymoli,Apartment,3,3,,1200,2021,https://bestbari.com/flat-sale-dhaka/flat-shaymoli/,"Full Load Power Backup,Common Area,International Standard Lift,Generator Backup,Children Play Area,Cloth Drying Area"
Ready Flat at Gulshan,Used Flat,4,5,2,3400,2016,https://bestbari.com/flat-sale-dhaka/ready-flat-at-gulshan/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Gym,BBQ Area,Guard Post"
Well Maintained Flat in Banani,Used Flat,3,3,2,2750,2017,https://bestbari.com/flat-sale-dhaka/well-maintained-flat-in-banani/,"Air Conditioning,Common Area,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Waiting Room,Children Play Area,Cloth Drying Area,Community Space,Guard Post,Reception"
Flat at North Gulshan,Used Flat,3,4,1,2560,2010,https://bestbari.com/flat-sale-dhaka/flat-at-north-gulshan/,"Garage,Common Area,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,BBQ Area,Security Room,Fire Protection,Guard Post"
Luxurious Apartment Near Gulshan Club,Used Flat,4,5,2,4200,2018,https://bestbari.com/flat-sale-dhaka/luxurious-apartment-near-gulshan-club/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Double Glazed Glass Window,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Gym,BBQ Area,Fire Protection,Guard Post,Lobby Lounge"
Luxury Apartment at Gulshan,Used Flat,4,5,2,4000,2019,https://bestbari.com/flat-sale-dhaka/luxury-apartment-at-gulshan/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Double Glazed Glass Window,Multi Level Basement Car Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Gym,BBQ Area,Security Room,Children Play Area,Cloth Drying Area,Fire Protection,Guard Post,Prayer Space,Reception"
Nice Flat at Gulshan,Used Flat,4,4,2,3030,2009,https://bestbari.com/flat-sale-dhaka/nice-flat-at-gulshan/,"Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Guard Post,Prayer Space,Reception"
Flat at Gulshan,Apartment,4,4,2,3200,2021,https://bestbari.com/flat-sale-dhaka/flat-at-gulshan-3/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Security Room,Children Play Area,Cloth Drying Area,Guard Post,Reception"
Momento,Used Flat,3,5,1,3100,,https://bestbari.com/flat-sale-dhaka/momento/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Waiting Room,Security Room,Children Play Area,Cloth Drying Area,Fire Protection,Guard Post,Prayer Space"
Luxury Flat at Gulshan,Used Flat,3,5,1,2612,2020,https://bestbari.com/flat-sale-dhaka/luxury-flat-at-gulshan/,"Garage,Full Load Power Backup,Interior Designed Lobbies,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Waiting Room,Security Room,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Fitness Center,Guard Post,Prayer Space,Reception"
Flat at Boshundhara,Used Flat,4,4,2,2268,2018,https://bestbari.com/flat-sale-dhaka/flat-at-boshundhara/,"Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Waiting Room,Waiting Lobby,Fire Protection,Guard Accommodation,Guard Post,Reception,Lobby Lounge"
Flat at Baridhara,Used Flat,2,2,1,1000,,https://bestbari.com/flat-sale-dhaka/flat-at-baridhara/,"Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Fire Protection,Guard Post"
Apartment near Gulshan club,Used Flat,4,5,2,5200,2016,https://bestbari.com/flat-sale-dhaka/apartment-near-gulshan-club/,"Air Conditioning,Corner Plot,Full Load Power Backup,Interior Designed Lobbies,Common Area,Double Glazed Glass Window,Multi Level Basement Car Parking,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Exercise Studio,Gym,Security Room,Fire Protection,Guard Post,Indoor Games,Reception,Smart Home Feature"
Flat at Uttara,Apartment,3,3,1,1172,,https://bestbari.com/flat-sale-dhaka/flat-at-uttara/,"Garage,Full Load Power Backup,Parking,International Standard Lift,Generator Backup,Cloth Drying Area,Fire Protection,Prayer Space"
Flat at Dhanmondi,Used Flat,3,4,1,1600,2020,https://bestbari.com/flat-sale-dhaka/flat-at-dhanmondi/,"Garage,Common Area,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Driver Waiting,Fire Protection,Guard Post,Reception"
Ready Flat Sale In Gulshan,Apartment,3,3,1,2696,2020,https://bestbari.com/flat-sale-dhaka/ready-flat-sale-in-gulshan/,"Garage,Full Load Power Backup,Interior Designed Lobbies,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Rooftop Landscaping,Waiting Room,Gym,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Guard Post,Prayer Space,Reception,Lobby Lounge"
Flat at Mirpur,Apartment,3,4,1,1872,,https://bestbari.com/flat-sale-dhaka/flat-at-mirpur/,"Garage,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Badminton Court,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Guard Post,Playground,Reception"
Flat at Uttara,Apartment,4,5,1,3000,,https://bestbari.com/flat-sale-dhaka/flat-at-uttara-2/,"Garage,Garden,Interior Designed Lobbies,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Guard Post,Reception,Lobby Lounge"
Flat at Uttara,Used Flat,5,4,1,2410,2018,https://bestbari.com/flat-sale-dhaka/flat-at-uttara-3/,"Garage,Corner Plot,Full Load Power Backup,Interior Designed Lobbies,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Guard Post,Prayer Space,Reception"
Flat at Banani,Apartment,3,4,1,2200,,https://bestbari.com/flat-sale-dhaka/flat-at-banani-5/,"Garage,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Guard Post,Reception"
Apartment at Gulshan,Used Flat,3,4,1,2850,,https://bestbari.com/flat-sale-dhaka/apartment-at-gulshan-2/,"Garage,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Waiting Room,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Guard Post,Prayer Space,Reception,Lobby Lounge"
EDISON KAZI CAMELLIA,Apartment,3,3,1,1350,,https://bestbari.com/flat-sale-dhaka/edison-kazi-camellia/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Children Play Area,Cloth Drying Area,Community Space,Guard Post,Reception,Lobby Lounge"
EDISON ROSALIND,Apartment,4,4,1,2275,2024,https://bestbari.com/flat-sale-dhaka/edison-rosalind/,"Air Conditioning,Garage,Interior Designed Lobbies,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Waiting Lobby,Security Room,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Guard Post,Reception,Lobby Lounge"
EDISON ANGELO,Apartment,4,5,2,4610,2025,https://bestbari.com/flat-sale-dhaka/edison-angelo/,"Air Conditioning,Garage,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,Security Room,Children Play Area,Cloth Drying Area,Fire Protection,Guard Post,Reception,Lobby Lounge"
EDISON OTHELLO,Apartment,3,3,1,2260,2024,https://bestbari.com/flat-sale-dhaka/edison-othello/,"Air Conditioning,Garage,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Stretcher Lift,Generator Backup,Rooftop Landscaping,Security Room,Children Play Area,Cloth Drying Area,Fire Protection,Guard Post,Prayer Space,Lobby Lounge"
EDISON TITANIA,Apartment,4,4,2,3090,2025,https://bestbari.com/flat-sale-dhaka/edison-titania/,"Air Conditioning,Garage,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,Rooftop Landscaping,Fire Protection,Fitness Center,Guard Post,Reception,Lobby Lounge"
EDISON SOUTH SERENADE,Apartment,3,3,1,2090,2022,https://bestbari.com/flat-sale-dhaka/edison-south-serenade/,"Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Security Room,Children Play Area,Cloth Drying Area,Community Space,Driver Waiting,Fire Protection,Prayer Space,Reception,Lobby Lounge"
EDISON CASTALIA,Apartment,3,3,1,1268,2022,https://bestbari.com/flat-sale-dhaka/edison-castalia/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Waiting Room,Security Room,Children Play Area,Cloth Drying Area,Prayer Space,Reception"
EDISON APRICUS,Apartment,4,4,1,3020,2025,https://bestbari.com/flat-sale-dhaka/edison-apricus/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Parking,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,Waiting Room,Security Room,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Fitness Center,Guard Post,Reception"
EDISON AMOUR,Apartment,3,3,1,2900,2025,https://bestbari.com/flat-sale-dhaka/edison-amour/,"Air Conditioning,Garden,Full Load Power Backup,Interior Designed Lobbies,Common Area,Double Glazed Glass Window,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Gym,Security Room,Children Play Area,Cloth Drying Area,Guard Post,Reception,Lobby Lounge"
EDISON LAVENDER,Apartment,3,3,1,2450,2022,https://bestbari.com/flat-sale-dhaka/edison-lavender/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Security Room,Community Space,Fire Protection,Guard Post,Reception"
MIR M.R. MEMENTO,Apartment,4,4,1,2185,,https://bestbari.com/flat-sale-dhaka/mir-m-r-memento/,"Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Waiting Room,Driver Waiting,Guard Post,Prayer Space,Reception"
MIR NOOR SQUARE,Apartment,4,4,1,3606,2021,https://bestbari.com/flat-sale-dhaka/mir-noor-square/,"Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Multi Level Basement Car Parking,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Stretcher Lift,Generator Backup,Waiting Room,Waiting Lobby,Security Room,Community Space,Fire Protection,Prayer Space,Reception,Lobby Lounge"
EDISON IRIDA,Apartment,3,3,1,1426,2023,https://bestbari.com/flat-sale-dhaka/edison-irida/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Waiting Room,Exercise Studio,Waiting Lobby,Fire Protection,Reception"
Assure Point Bashundhara,Residential,4,3,1,1828,,https://bestbari.com/flat-sale-dhaka/assure-point-bashundhara/,"Garage,Garden,Parking,Generator Backup,Security Room,Cloth Drying Area,Community Space"
MIR PREMIERE,Apartment,3,3,1,1884,2021,https://bestbari.com/flat-sale-dhaka/mir-premiere/,"Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Stretcher Lift,Generator Backup,Waiting Room,Waiting Lobby,Children Play Area,Cloth Drying Area,Community Space,Driver Waiting,Guard Post,Reception,Lobby Lounge"
Used Apartment Sale At North Gulshan-2,Apartment,4,4,1,3400 SQFT,,https://bestbari.com/flat-sale-dhaka/used-apartment-sale-at-north-gulshan-2/,"Garage,Parking,Security Room,Guard Accommodation"
Brand New Apartment At Bashundhara,Apartment,3,3,1,1580,2023,https://bestbari.com/flat-sale-dhaka/brand-new-apartment-at-bashundhara/,"Garage,Parking,Generator Backup,Security Room,Guard Accommodation"
Ventura Carmelo,Apartment,,,1,,,https://bestbari.com/flat-sale-dhaka/ventura-carmelo/,"Garage,Full Load Power Backup,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,BBQ Area,Community Space,Fire Protection,Guard Accommodation"
Ventura Eden Roc,Apartment,4,4,1,3000,2019,https://bestbari.com/flat-sale-dhaka/ventura-eden-roc/,"Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,BBQ Area,Security Room,Community Space,Fire Protection,Guard Accommodation,Lobby Lounge"
Ventura Verona,Apartment,,,1,,,https://bestbari.com/flat-sale-dhaka/ventura-verona/,"Garage,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Multipurpose Room for Prayer and Meeting,BBQ Area,Security Room,Community Space,Guard Accommodation,Infinity Swimming Pool,Lighting and Water Feature,Rainwater Harvesting"
Ventura Iconia,Apartment,,,1,1700-3500,,https://bestbari.com/flat-sale-dhaka/ventura-iconia/,"Garage,Garden,Interior Designed Lobbies,Parking,Landscaping,Security Surveillance System,Generator Backup,24/7 CCTV Surveillance,BBQ Area,Security Room,Fire Protection,Guard Accommodation"
Ventura Rebecca,Apartment,,,1,,,https://bestbari.com/flat-sale-dhaka/ventura-rebecca/,"Garage,Garden,Interior Designed Lobbies,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,BBQ Area,Security Room,Community Space"
Ventura Avenue,"Apartment, Used Flat",,,1,1800-3500,2010,https://bestbari.com/flat-sale-dhaka/ventura-avenue/,"Garage,Interior Designed Lobbies,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,24/7 CCTV Surveillance,Rooftop Landscaping,Security Room,Community Space,Fire Protection,Guard Accommodation,Guard Post,Lobby Lounge"
Ventura Rosabella,Apartment,,,1,1700-3500,,https://bestbari.com/flat-sale-dhaka/ventura-rosabella/,"Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Guard Accommodation"
Ventura Mirabelle,"Apartment, Used Flat",,,1,1500-4000,2008,https://bestbari.com/flat-sale-dhaka/ventura-mirabelle/,"Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Guard Accommodation"
Ventura Cassandra,"Apartment, Used Flat",,,1,1600-3500,2012,https://bestbari.com/flat-sale-dhaka/ventura-cassandra/,"Garage,Garden,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Multipurpose Room for Prayer and Meeting,Gym,Security Room,Community Space,Fire Protection"
Regent Hasina,Apartment,4,5,1,2180,,https://bestbari.com/flat-sale-dhaka/regent-hasina/,"Garage,Common Area,Parking,Security Surveillance System,Generator Backup,24/7 CCTV Surveillance,Guard Accommodation,Reception,Lobby Lounge"
Brand New Apartment at Banani - B,Apartment,3,5,1,2820,,https://bestbari.com/flat-sale-dhaka/brand-new-apartment-at-banani-b/,"Garage,Parking,Security Surveillance System,24/7 CCTV Surveillance,Security Room,Community Space,Guard Accommodation,Reception"
Land at Uttara Sector 12,Land,,,,3 Katha,,https://bestbari.com/flat-sale-dhaka/land-at-uttara-12/,Garage
Brand New Apartment at Banani - A,Apartment,3,5,1,2820,,https://bestbari.com/flat-sale-dhaka/brand-new-apartment-at-banani-a/,"Garage,Common Area,Parking,Security Surveillance System,24/7 CCTV Surveillance,Guard Accommodation,Reception"
Brand New Apartment at Banani - C,Apartment,3,5,1,2820,,https://bestbari.com/flat-sale-dhaka/brand-new-apartment-at-banani-c/,"Garage,Common Area,Parking,Security Surveillance System,24/7 CCTV Surveillance,Community Space,Guard Accommodation,Reception"
Assure Springdale,Apartment,3,3,1,1835,,https://bestbari.com/flat-sale-dhaka/assure-springdale/,"Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Security Room,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Guard Accommodation"
Luxurious South-Facing Flat for sale at Mohammadpur,Apartment,4,4,,2030,,https://bestbari.com/flat-sale-dhaka/luxurious-south-facing-flat-for-sale-at-mohammadpur/,"Garage,Parking,Generator Backup,Security Room,Guard Accommodation"
Assure Paradise,Residential,4,4,1,2057,,https://bestbari.com/flat-sale-dhaka/assure-paradise/,"Garage,Garden,Generator Backup,Waiting Room,Security Room,Community Space,Guard Accommodation"
Assure Broadway,"Apartment, Residential",4,3,1,2015,,https://bestbari.com/flat-sale-dhaka/assure-broadway/,"Garage,Generator Backup,Security Room,Guard Post,Reception"
Assure Puspita,Residential,3,3,1,1892,,https://bestbari.com/flat-sale-dhaka/assure-puspita/,"Garage,Garden,Parking,Generator Backup,Children Play Area,Cloth Drying Area,Community Space,Driver Waiting,Guard Accommodation,Guard Post"
MIR TARUN NIKUNJA,Apartment,3,3,1,2600,2021,https://bestbari.com/flat-sale-dhaka/mir-tarun-nikunja/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Waiting Room,Exercise Studio,Waiting Lobby,Fire Protection,Guard Post,Reception"
MIR BHUIYAN MANOR,Apartment,3,3,1,1873,2020,https://bestbari.com/flat-sale-dhaka/mir-bhuiyan-manor/,"Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Stretcher Lift,Generator Backup,Driver Waiting,Guard Post,Reception"
MIR ARAB,Apartment,3,3,1,1805,2022,https://bestbari.com/flat-sale-dhaka/mir-arab/,"Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Stretcher Lift,Generator Backup,Waiting Room,Security Room,Children Play Area,Cloth Drying Area,Community Space,Prayer Space,Reception"
MIR FIORI SIRAJ,Apartment,3,3,1,1430,2021,https://bestbari.com/flat-sale-dhaka/mir-fiori-siraj/,"Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Waiting Room,Exercise Studio,Waiting Lobby,Security Room,Children Play Area,Cloth Drying Area,Fire Protection,Guard Post,Reception"
Ventura Water Woods,Apartment,3,3,1,2100 SFT,2019,https://bestbari.com/flat-sale-dhaka/ventura-water-woods/,"Garage,Garden,Parking,Security Surveillance System,24/7 CCTV Surveillance,Security Room,Guard Accommodation,Lobby Lounge"
Ventura Cassiopeia,,4,4,1,3700 SFT,2019,https://bestbari.com/flat-sale-dhaka/ventura-cassiopeia/,"Garage,Interior Designed Lobbies,Parking,Security Surveillance System,Fire Fighting and Detection System,24/7 CCTV Surveillance,Multipurpose Room for Prayer and Meeting,Waiting Lobby,Security Room,Children Play Area,Community Space,Fire Protection,Guard Accommodation,Lighting and Water Feature,Playground,Reception,Lobby Lounge"
Ventura North Star,,4,4,1,3350 SFT,2021,https://bestbari.com/flat-sale-dhaka/ventura-north-star/,"Garage,Garden,Interior Designed Lobbies,Parking,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,24/7 CCTV Surveillance,Gym,BBQ Area,Security Room,Community Space,Fire Protection,Fitness Center,Guard Accommodation,Infinity Swimming Pool,Lighting and Water Feature,Reception,Lobby Lounge"
Ventura Buena Vista,,3,3,1,1950 SFT,2020,https://bestbari.com/flat-sale-dhaka/ventura-buena-vista/,"Garage,Garden,Parking,Landscaping,Security Surveillance System,24/7 CCTV Surveillance,Rooftop Landscaping,Security Room,Children Play Area,Fire Protection,Guard Accommodation,Reception,Lobby Lounge"
Ventura Riverstone,,3,3,1,2350,2020,https://bestbari.com/flat-sale-dhaka/ventura-riverstone/,"Garage,Garden,Corner Plot,Common Area,Parking,Security Surveillance System,24/7 CCTV Surveillance,Community Space,Fire Protection,Guard Accommodation,Reception,Lobby Lounge"
Ventura Artista,,4,4,1,3500 SFT,2019,https://bestbari.com/flat-sale-dhaka/ventura-artista/,"Garage,Corner Plot,Interior Designed Lobbies,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Multipurpose Room for Prayer and Meeting,Security Room,Community Space,Fire Protection,Guard Accommodation,Reception,Lobby Lounge"
Ventura Sky Valley,,3,3,1,2270 SFT,2021,https://bestbari.com/flat-sale-dhaka/ventura-sky-valley/,"Garage,Garden,Corner Plot,Interior Designed Lobbies,Common Area,Parking,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,24/7 CCTV Surveillance,Multipurpose Room for Prayer and Meeting,Waiting Lobby,Gym,BBQ Area,Security Room,Community Space,Fire Protection,Guard Accommodation,Reception,Lobby Lounge"
B17,,,,1,,Ongoing,https://bestbari.com/flat-sale-dhaka/b17/,"Garage,Parking,Security Surveillance System,Fire Fighting and Detection System,24/7 CCTV Surveillance,Waiting Lobby,Security Room,Reception,Lobby Lounge"
Ventura Agnibeena,,N/A,N/A,2,2100 SFT,2020,https://bestbari.com/flat-sale-dhaka/ventura-agnibeena/,"Garage,Interior Designed Lobbies,Multi Level Basement Car Parking,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Multipurpose Room for Prayer and Meeting,Guard Accommodation,Reception,Lobby Lounge"
Ventura Mall,,N/A,N/A,3,"300 to 900 Shops, 3020 Business floors (SFT)",2021,https://bestbari.com/flat-sale-dhaka/ventura-mall/,"Air Conditioning,Garage,Interior Designed Lobbies,Multi Level Basement Car Parking,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Security Room,Fire Protection"
